buurt_naam,year,gas_consumption_TJ,electricity_consumption_GWh,co2_electricity_kton,co2_gas_kton,Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],woningen,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_03_jaar,inwoners_in_de_leeftijd_van_411_jaar,inwoners_in_de_leeftijd_van_1217_jaar,inwoners_in_de_leeftijd_van_1824_jaar,inwoners_in_de_leeftijd_van_2539_jaar,inwoners_in_de_leeftijd_van_4054_jaar,inwoners_in_de_leeftijd_van_5564_jaar,inwoners_in_de_leeftijd_van_6574_jaar,inwoners_in_de_leeftijd_van_7584_jaar,inwoners_in_de_leeftijd_van_85_jaar_en_ouder,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden,huishoudens_onder_105_van_sociaal_minimum,total_buil,occupied_p,unoccupied,pre_1945,1945_1960,1961_1980,1981_2000,2001_2010,2011_2024,high_effic,moderate_e,low_effici,unknown_ef,coaching_sessions,sde_projects,isde_projects,sce_projects,local_subsidy_projects,latitude,longitude,total subsidies
binnenstad-zuid,2015,55,3.7,1.9,3.1,0.62,0.22,0,0,1253,1254,2046,47,72,41,427,813,316,160,115,48,7,160,1716,170,29200,12,1040,99.42307692,0.576923077,617,38,32,175,132,0,351,447,228,14,0,0,0,0,0,52.51130433,6.093520198,0
binnenstad-zuid,2016,52,3,1.4,2.9,0.64,0.2,0,0,1298,1299,2143,40,58,49,431,912,305,164,130,46,8,147,1812,184,30400,10,1040,99.42307692,0.576923077,617,38,32,175,132,0,351,447,228,14,0,0,0,0,0,52.51130433,6.093520198,0
binnenstad-zuid,2017,48,3.1,1.4,2.7,0.63,0.2,0,0,1327,1328,2175,38,68,51,417,920,314,169,139,46,13,157,1820,198,32400,9,1040,99.42307692,0.576923077,617,38,32,175,132,0,351,447,228,14,0,0,0,0,0,52.51130433,6.093520198,0
binnenstad-zuid,2018,49,3.2,1.4,2.8,0.68,0.21,14,0,1381,1382,2242,40,59,66,462,926,326,156,140,55,12,165,1870,207,30400,10,1040,99.42307692,0.576923077,617,38,32,175,132,0,351,447,228,14,0,0,0,0,0,52.51130433,6.093520198,0
binnenstad-zuid,2019,53,3.3,1.2,3,0.78,0.22,59,0,1464,1465,2296,33,60,74,458,977,317,168,143,51,15,167,1920,209,36300,9,1040,99.42307692,0.576923077,617,38,32,175,132,0,351,447,228,14,0,0,0,0,0,52.51130433,6.093520198,0
binnenstad-zuid,2020,52,3.2,0.9,3,0.79,0.22,60,113,1503,1504,2323,30,65,75,490,965,319,166,141,59,13,170,1940,213,35300,9,1040,99.42307692,0.576923077,617,38,32,175,132,0,351,447,228,14,0,0,0,0,0,52.51130433,6.093520198,0
binnenstad-zuid,2021,54,3.5,1,3,0.83,0.23,61,0,1526,1527,2338,29,56,70,487,977,321,174,145,63,16,155,1959,224,35100,8,1040,99.42307692,0.576923077,617,38,32,175,132,0,351,447,228,14,0,0,1,0,0,52.51130433,6.093520198,1
binnenstad-zuid,2022,49,3.3,0.9,2.8,2.26,0.5,62,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,99.42307692,0.576923077,617,38,32,175,132,0,351,447,228,14,0,0,7,0,0,52.51130433,6.093520198,7
binnenstad-zuid,2023,42,3.2,0.7,2.4,1.35,0.37,94,0,1565,1566,2367,34,49,58,477,987,350,183,131,80,18,141,1997,229,0,0,1040,99.42307692,0.576923077,617,38,32,175,132,0,351,447,228,14,1,0,8,0,0,52.51130433,6.093520198,8
binnenstad-zuid,2024,0,0,0,0,0,0,0,0,1575,1576,2373,36,54,52,467,1012,335,172,133,87,25,142,1986,245,0,0,1040,99.42307692,0.576923077,617,38,32,175,132,0,351,447,228,14,0,0,10,0,0,52.51130433,6.093520198,10
