postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN
8011AC,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023,Dakisolatie,Dakisolatie,52.51000683,6.085365994,4,83,140,Kamperpoort,Kamperpoort,469758.4195,2801.244304
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022,Glasisolatie,HR++ glas U <= 1,52.50909618,6.084539809,4,83,140,Kamperpoort,Kamperpoort,469758.4195,2801.244304
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022,Vloerisolatie,Vloerisolatie,52.50909618,6.084539809,4,83,140,Kamperpoort,Kamperpoort,469758.4195,2801.244304
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023,Warmtepomp,Lucht-water < 1 kW,52.50909618,6.084539809,4,83,140,Kamperpoort,Kamperpoort,469758.4195,2801.244304
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024,Warmtepomp,Lucht-water >= 3,52.50909618,6.084539809,4,83,140,Kamperpoort,Kamperpoort,469758.4195,2801.244304
8011AK,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022,Dakisolatie,Dakisolatie,52.51141848,6.085590357,4,83,140,Kamperpoort,Kamperpoort,469758.4195,2801.244304
8011AK,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022,Glasisolatie,HR++ glas U <= 1,52.51141848,6.085590357,4,83,140,Kamperpoort,Kamperpoort,469758.4195,2801.244304
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022,Glasisolatie,Isolerende deur Ud <= 1,52.51209254,6.082825971,4,83,140,Kamperpoort,Kamperpoort,469758.4195,2801.244304
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022,Glasisolatie,Panelen in kozijn U <= 0,52.51209254,6.082825971,4,83,140,Kamperpoort,Kamperpoort,469758.4195,2801.244304
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022,Glasisolatie,Triple glas U <= 0,52.51209254,6.082825971,4,83,140,Kamperpoort,Kamperpoort,469758.4195,2801.244304
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022,Vloerisolatie,Vloerisolatie,52.51209254,6.082825971,4,83,140,Kamperpoort,Kamperpoort,469758.4195,2801.244304
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023,Glasisolatie,HR++ glas U <= 1,52.51209254,6.082825971,4,83,140,Kamperpoort,Kamperpoort,469758.4195,2801.244304
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023,Glasisolatie,Isolerende deur Ud <= 1,52.51209254,6.082825971,4,83,140,Kamperpoort,Kamperpoort,469758.4195,2801.244304
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023,Glasisolatie,Panelen in kozijn U <= 0,52.51209254,6.082825971,4,83,140,Kamperpoort,Kamperpoort,469758.4195,2801.244304
