buurt_naam,total_buil,occupied_p,unoccupied,pre_1945,1945_1960,1961_1980,1981_2000,2001_2010,2011_2024,high_effic,moderate_e,low_effici,unknown_ef
aa-landen-midden,1595,99.87460815,0.12539185,0,0,1351,144,21,0,380,1184,23,8
aa-landen-noord,896,98.54910714,1.450892857,0,2,783,95,16,0,281,599,16,0
aa-landen-oost,803,99.00373599,0.99626401,0,0,752,16,0,0,269,529,4,1
aa-landen-zuid,813,99.75399754,0.24600246,0,0,781,1,6,0,27,713,48,25
bagijneweide,324,99.69135802,0.308641975,160,19,14,48,66,0,144,122,53,5
bedrijventerrein de vrolijkheid,72,100,0,0,9,11,1,3,0,44,5,8,15
bedrijventerrein floresstraat,143,100,0,11,5,7,2,118,0,113,9,21,0
bedrijventerrein hessenpoort,65,89.23076923,10.76923077,6,2,1,4,23,0,31,7,5,22
bedrijventerrein marslanden-noord,4,100,0,0,2,0,1,0,0,1,0,1,2
bedrijventerrein marslanden-zuid,316,99.05063291,0.949367089,0,0,48,107,149,0,200,83,13,20
bedrijventerrein voorst-a,44,100,0,24,2,3,13,0,0,15,23,5,1
bedrijventerrein voorst-b,43,100,0,0,0,9,26,1,0,17,14,2,10
bedrijventerrein voorst-c,56,100,0,0,0,23,10,7,0,46,4,2,4
bedrijventerrein voorst-d,9,100,0,0,0,0,5,4,0,4,5,0,0
berkum,926,98.59611231,1.403887689,15,65,501,296,2,0,260,542,92,32
binnenstad-noord,639,98.43505477,1.564945227,251,0,118,149,92,0,283,250,101,5
binnenstad-zuid,1040,99.42307692,0.576923077,617,38,32,175,132,0,351,447,228,14
bollebieste,734,99.86376022,0.136239782,205,20,274,190,9,0,248,380,100,6
breecamp,744,99.7311828,0.268817204,0,0,3,0,0,0,722,3,0,19
breezicht,796,100,0,1,0,0,0,0,0,147,0,1,648
brinkhoek,118,96.61016949,3.389830508,15,9,59,29,3,0,24,72,19,3
dieze-centrum,447,99.32885906,0.67114094,190,0,73,131,6,0,157,229,55,6
frankhuis,1746,99.82817869,0.171821306,11,1,6,4,1324,0,1602,96,13,35
geren,330,100,0,1,0,0,283,46,0,260,70,0,0
gerenbroek,623,99.83948636,0.160513644,0,1,119,503,0,0,71,549,2,1
gerenlanden,650,99.07692308,0.923076923,27,1,543,59,6,0,187,446,16,1
haerst,39,94.87179487,5.128205128,20,4,7,3,4,0,10,17,12,0
hanzeland,512,99.21875,0.78125,5,0,0,394,112,0,301,209,2,0
harculo en hoog-zuthem,55,100,0,28,6,5,3,9,0,20,18,16,1
herfte,72,98.61111111,1.388888889,16,8,20,13,5,0,16,30,23,3
het noorden,1137,99.73614776,0.263852243,143,280,86,40,76,0,639,428,69,1
