telling,datum_afspraak_coachgesprek,postcode,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
1,2023-04-01,8024AP,52.52378946875,6.141788425,34.0,113.0,400.0,Berkum,Berkum,1366109.60488076,4899.34464278841,Berkum
2,2023-05-01,8016HM,52.48911400555556,6.103672972222222,52.0,131.0,503.0,Schellerlanden,Schellerlanden,742067.008989016,4035.29345939015,Schellerlanden
3,2023-05-01,8032EN,52.531460355,6.0945707,18.0,97.0,311.0,Aalanden-midden,Aa-landen-Midden,831740.170115852,3955.0341712154905,Aa-landen-Midden
4,2023-06-01,8024BB,52.52644264,6.13535149,34.0,113.0,400.0,Berkum,Berkum,1366109.60488076,4899.34464278841,Berkum
5,2023-06-01,8024PC,52.51506325,6.137062736363637,16.0,95.0,402.0,Veldhoek,Veldhoek,3208887.1281542,8476.613578610952,Veldhoek
6,2023-11-01,8032CP,52.52691175625,6.11237513125,56.0,135.0,310.0,Aalanden-zuid,Aa-landen-Zuid,541314.624175721,3550.93351606669,Aa-landen-Zuid
7,2023-01-13,8011JH,52.50839496875,6.0954262375,8.0,87.0,130.0,Stationsbuurt,Stationsbuurt,366929.988848463,2935.4302683612505,Stationsbuurt
8,2023-01-16,8032TD,52.53890523809524,6.099435414285714,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
9,2023-01-18,8017BA,52.49651109387755,6.1028757,17.0,96.0,500.0,Oud Schelle,Oud-Schelle,350500.37417387,3357.77484968226,Oud-Schelle
10,2023-01-19,8033CB,52.53660734,6.11099376,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
11,2023-01-20,8014JP,52.48629783571429,6.119556621428572,74.0,153.0,515.0,Gerenbroek,Gerenbroek,491306.140809935,3143.8850822113204,Gerenbroek
12,2023-01-23,8032TR,52.537823110000005,6.098854615,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
13,2023-01-23,8032XZ,52.5356877826087,6.103682508695653,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
14,2023-01-23,8034RA,52.53537434,6.120175573333333,12.0,91.0,320.0,Brinkhoek,Brinkhoek,3490313.24648282,8407.93643272948,Brinkhoek
15,2023-01-24,8032TB,52.539291128,6.0989880240000005,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
16,2023-01-27,8011ET,52.50911508181818,6.099366719696969,44.0,123.0,133.0,Wezenlanden,Wezenlanden,571359.566811339,3546.55421354131,Wezenlanden
17,2023-01-02,8032NE,52.54040678571429,6.0942109,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
18,2023-02-02,8016LM,52.47652853448276,6.102609979310345,57.0,136.0,506.0,Oldenelerbroek,Oldenelerbroek,802963.0976911429,3757.8488368882904,Oldenelerbroek
19,2023-02-02,8032CG,52.52835091818182,6.110896936363637,56.0,135.0,310.0,Aalanden-zuid,Aa-landen-Zuid,541314.624175721,3550.93351606669,Aa-landen-Zuid
20,2023-02-02,8032NP,52.54107277727272,6.096604240909091,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
21,2023-03-02,8012DW,52.50442939047619,6.104588761904762,55.0,134.0,132.0,Nieuw Assendorp,Nieuw-Assendorp,280071.537207417,2709.3401749456402,Nieuw-Assendorp
22,2023-07-02,8033DW,52.538050708,6.107186292,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
23,2023-08-02,8033BX,52.53053415555556,6.113584933333334,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
24,2023-08-02,8033BN,52.5339494625,6.1137639375,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
25,2023-08-02,8032TM,52.536898685,6.09952559,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
26,2023-09-02,8013ZA,52.50290450869565,6.113100078260869,27.0,106.0,134.0,Pierik,Pierik,629634.364278195,3566.68693677521,Pierik
27,2023-09-02,8032LR,52.53794647272728,6.092667227272727,53.0,132.0,312.0,Aalanden-noord,Aa-landen-Noord,945350.121991867,4265.074188642569,Aa-landen-Noord
28,2023-02-13,8033EG,52.53611576666667,6.106721476190476,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
29,2023-02-13,8031DC,52.52480561666667,6.0917596,7.0,86.0,300.0,Holtenbroek IV,Holtenbroek IV,701810.542663296,3608.94708578316,Holtenbroek IV
30,2023-02-14,8016ER,52.48720728888889,6.101956716666667,35.0,114.0,504.0,Oldenelerlanden-oost,Oldenelerlanden-Oost,345481.748614459,2611.5209431469198,Oldenelerlanden-Oost
31,2023-02-15,8033CN,52.53755900833333,6.112293775,24.0,103.0,313.0,Aalanden-oost,Aa-landen-Oost,618607.9893615639,3672.37066120832,Aa-landen-Oost
