postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude,index_right,OBJECTID,BRTNR,OMSCHR,OFFICIËLE,SHAPEAREA,SHAPELEN,buurt_naam
8011AC,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Dakisolatie,Dakisolatie,52.51000683235294,6.085365994117647,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,HR++ glas U <= 1,52.509096178125,6.084539809375,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Vloerisolatie,Vloerisolatie,52.509096178125,6.084539809375,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Warmtepomp,Lucht-water < 1 kW,52.509096178125,6.084539809375,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024.0,Warmtepomp,Lucht-water >= 3,52.509096178125,6.084539809375,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AK,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Dakisolatie,Dakisolatie,52.51141848016878,6.085590356962025,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AK,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,HR++ glas U <= 1,52.51141848016878,6.085590356962025,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,Isolerende deur Ud <= 1,52.51209254285714,6.082825971428572,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,Panelen in kozijn U <= 0,52.51209254285714,6.082825971428572,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,Triple glas U <= 0,52.51209254285714,6.082825971428572,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Vloerisolatie,Vloerisolatie,52.51209254285714,6.082825971428572,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Glasisolatie,HR++ glas U <= 1,52.51209254285714,6.082825971428572,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Glasisolatie,Isolerende deur Ud <= 1,52.51209254285714,6.082825971428572,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Glasisolatie,Panelen in kozijn U <= 0,52.51209254285714,6.082825971428572,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Vloerisolatie,Vloerisolatie,52.51209254285714,6.082825971428572,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024.0,Glasisolatie,HR++ glas U <= 1,52.51209254285714,6.082825971428572,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024.0,Vloerisolatie,Vloerisolatie,52.51209254285714,6.082825971428572,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AR,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,HR++ glas U <= 1,52.51225158672566,6.083663091150442,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AV,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.51286515423729,6.084294322033899,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AW,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Dakisolatie,Dakisolatie,52.51332243888889,6.081562022222222,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
8011AW,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Vloerisolatie,Vloerisolatie,52.51332243888889,6.081562022222222,4,83,140,Kamperpoort,Kamperpoort,469758.41951146704,2801.2443038181705,Kamperpoort
