postal_code,place,bad_isolated_parts_of_the_house,date,amount_of_money,measures,do-it-yourself?,ventilation_measure?,buurt-naam,disctrict_cbs
8012DW,Zwolle,Dak Gevel Ramen Vloer Zolder,2025-01-10,2600.0,Vloerisolatie (meer dan 20 m2),nee,nee,Nieuw-Assendorp,Assendorp
8043PD,Zwolle,Dak Gevel Vloer Zolder,2024-07-20,2000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Frankhuis,Stadshagen
8021DR,Zwolle,Ramen Zolder,2024-08-15,2000.0,Dakisolatie binnenzijde (meer dan 20 m2),ja,nee,Het Noorden,Diezerpoort
8033EE,Zwolle,Ramen Vloer,2024-08-22,2000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Aa-landen-Oost,Aa-landen
8012AD,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-12-02,2000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8012WL,Zwolle,Gevel Vloer Zolder,2024-12-11,2000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8021DL,Zwolle,Dak Gevel Vloer Zolder,2024-12-11,2000.0,Dakisolatie binnenzijde (meer dan 20 m2),nee,nee,Het Noorden,Diezerpoort
8012DA,Zwolle,Dak Gevel Ramen Zolder,2024-12-17,2000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Nieuw-Assendorp,Assendorp
8012DA,Zwolle,Dak Gevel Vloer Zolder,2024-12-19,2000.0,Vloerisolatie (meer dan 20 m2),nee,nee,Nieuw-Assendorp,Assendorp
8021WR,Zwolle,Gevel Ramen Vloer Zolder,2024-12-22,2000.0,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Schildersbuurt,Diezerpoort
8012BA,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-12-28,2000.0,Dakisolatie binnenzijde (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Oud-Assendorp,Assendorp
8014AW,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-12-30,2000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Ittersum,Ittersum
8033AX,Zwolle,Gevel Vloer Zolder,2024-12-30,2000.0,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Aa-landen-Oost,Aa-landen
8014ZG,Zwolle,Ramen,2025-01-15,2000.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Ittersum,Ittersum
8021ER,Zwolle,Dak Gevel Vloer,2024-01-31,1300.0,Bodemisolatie (meer dan 20 m2) Spouwmuurisolatie (meer dan 10 m2),nee,nee,Het Noorden,Diezerpoort
8022AX,Zwolle,Gevel Ramen Vloer,2024-01-31,1300.0,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),nee,nee,Hogenkamp,Diezerpoort
8012WR,Zwolle,Dak Gevel Ramen Zolder,2024-02-09,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Nieuw-Assendorp,Assendorp
8032TS,Zwolle,Dak Ramen Vloer Zolder,2024-02-09,1300.0,Bodemisolatie (meer dan 20 m2),nee,nee,Aa-landen-Noord,Aa-landen
8021VX,Zwolle,Dak Gevel Ramen Vloer Zolder,2024-02-13,1300.0,Bodemisolatie (meer dan 20 m2) Spouwmuurisolatie (meer dan 10 m2),nee,nee,Bollebieste,Diezerpoort
8012VM,Zwolle,Dak Gevel,2024-02-13,1300.0,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),nee,nee,Oud-Assendorp,Assendorp
8021XD,Zwolle,Ramen,2024-02-14,1300.0,Spouwmuurisolatie (meer dan 10 m2),nee,nee,Bollebieste,Diezerpoort
8032ZM,Zwolle,Dak Ramen Vloer Zolder,2024-02-19,1300.0,Vloerisolatie (meer dan 20 m2),nee,nee,Aa-landen-Noord,Aa-landen
