datum_afspraak_coachgesprek,postcode,telling,valid_postcode
2023-04-01,8024AP,1,True
2023-05-01,8016HM,2,True
2023-05-01,8032EN,3,True
2023-06-01,8024BB,4,True
2023-06-01,8024PC,5,True
2023-11-01,8032CP,6,True
2023-01-13,8011JH,7,True
2023-01-16,8032TD,8,True
2023-01-18,8017BA,9,True
2023-01-19,8033CB,10,True
2023-01-20,8014JP,11,True
2023-01-23,8032TR,12,True
2023-01-23,8032XZ,13,True
2023-01-23,8034RA,14,True
2023-01-24,8032TB,15,True
2023-01-27,8011ET,16,True
2023-01-02,8032NE,17,True
2023-02-02,8016LM,18,True
2023-02-02,8032CG,19,True
2023-02-02,8032NP,20,True
2023-03-02,8012DW,21,True
2023-07-02,8033DW,22,True
2023-08-02,8033BX,23,True
2023-08-02,8033BN,24,True
2023-08-02,8032TM,25,True
2023-09-02,8013ZA,26,True
2023-09-02,8032LR,27,True
2023-02-13,8033EG,28,True
2023-02-13,8031DC,29,True
2023-02-14,8016ER,30,True
2023-02-15,8033CN,31,True
2023-02-16,8016LA,32,True
2023-02-17,8023BV,33,True
2023-02-17,8012BN,34,True
2023-02-17,8031DB,35,True
2023-02-17,8017BH,36,True
2023-02-18,8014CX,37,True
2023-02-20,8015BL,38,True
2023-02-20,8042AT,39,True
2023-02-20,8031CA,40,True
2023-02-22,8033EG,41,True
2023-02-23,8042GB,42,True
2023-02-23,8043EH,43,True
2023-02-24,8032JN,44,True
2023-02-28,8016LM,45,True
2023-02-28,8035RA,46,True
2023-01-03,8042NR,47,True
2023-01-03,8011LC,48,True
2023-07-03,8014HD,49,True
2023-07-03,8016DS,50,True
2023-07-03,8017NA,51,True
2023-08-03,8016LM,52,True
2023-08-03,8016AP,53,True
2023-10-03,8042CX,54,True
2023-10-03,8032JK,55,True
2023-03-13,8014JA,56,True
2023-03-13,8033DH,57,True
2023-03-14,8016LT,58,True
2023-03-16,8014JK,59,True
2023-03-17,8017AM,60,True
2023-03-20,8023BG,61,True
2023-03-23,8012VM,62,True
2023-03-24,8014ZC,63,True
2023-03-24,8017MC,64,True
2023-03-31,8014JK,65,True
2023-03-31,8016AK,66,True
2023-03-04,8025AR,67,True
2023-04-04,8015PT,68,True
2023-07-04,8015PW,69,True
2023-04-13,8016MG,70,True
2023-04-14,8014GE,71,True
2023-04-19,8014EJ,72,True
2023-04-19,8014CD,73,True
2023-04-19,8017DE,74,True
2023-04-23,8032TE,75,True
2023-04-24,8016AW,76,True
2023-04-25,8022RT,77,True
2023-04-28,8032LM,78,True
2023-02-05,8012WD,79,True
2023-10-05,8014CT,80,True
2023-10-05,8023DJ,81,True
2023-12-05,8014AM,82,True
2023-12-05,8043VN,83,True
2023-05-15,8017JB,84,True
2023-05-16,8014MN,85,True
2023-05-17,8016LL,86,True
2023-05-22,8032LM,87,True
2023-05-22,8032TE,88,True
2023-05-25,8015BR,89,True
2023-05-30,8032XG,90,True
2023-06-25,8032JG,91,True
2023-06-29,8012WX,92,True
2023-02-08,8012WN,93,True
2023-08-14,8012DZ,94,True
2023-08-18,8012AJ,95,True
2023-08-24,8032GA,96,True
2023-04-09,8012DL,97,True
2023-09-15,8014PN,98,True
2023-09-18,8033BH,99,True
2023-09-20,8032DT,100,True
2023-09-22,8022BC,101,True
2023-09-28,8032AH,102,True
2023-02-10,8032GN,103,True
2023-11-10,8014PA,104,True
2023-10-13,8012XS,105,True
2023-10-16,8033CK,106,True
2023-10-17,8016GC,107,True
2023-10-20,8012CW,108,True
2023-10-24,8017NM,109,True
2023-10-27,8032ZJ,110,True
2023-10-27,8012VH,111,True
2023-10-30,8014TM,112,True
2023-10-30,8032KX,113,True
2023-10-31,8032EE,114,True
2023-03-11,8032TV,115,True
2023-05-11,8031JM,116,True
2023-10-11,8031JB,117,True
2023-11-14,8014ZG,118,True
2023-11-14,8033AB,119,True
2023-11-14,8032GA,120,True
2023-11-14,8032GA,121,True
2023-11-15,8043TW,122,True
2023-11-16,8033BZ,123,True
2023-11-21,8042GL,124,True
2023-11-24,8043RW,125,True
2023-11-24,8013TB,126,True
2023-11-25,8032AH,127,True
2023-11-28,8042AB,128,True
2023-11-29,8017BB,129,True
2023-11-30,8031ZP,130,True
2023-02-12,8032CK,131,True
2023-05-12,8032CJ,132,True
2023-07-12,8032KM,133,True
2023-08-12,8031EW,134,True
2023-08-12,8031AV,135,True
2023-12-13,8042AM,136,True
2023-12-15,8033CP,137,True
2023-12-18,8032KM,138,True
2023-12-20,8043KP,139,True
2023-12-20,8032NK,140,True
2023-12-21,8033EB,141,True
2023-12-22,8011AP,142,True
2023-12-22,8031JH,143,True
2023-12-23,8031AV,144,True
2023-12-27,8032LM,145,True
2024-03-01,8042BB,1,True
2024-05-01,8023AG,2,True
2024-08-01,8016BC,3,True
2024-09-01,3851BK,4,True
2024-10-01,8042AX,5,True
2024-11-01,8033DM,6,True
2024-12-01,8014CA,7,True
2024-12-01,8042AL,8,True
2024-12-01,8033CG,9,True
2024-12-01,8042MH,10,True
2024-01-15,8017DM,11,True
2024-01-15,8016LM,12,True
2024-01-16,8013AH,13,True
2024-01-16,8012WK,14,True
2024-01-17,8043ZW,15,True
2024-01-19,8032AE,16,True
