buurt_naam,woningen,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_03_jaar,inwoners_in_de_leeftijd_van_411_jaar,inwoners_in_de_leeftijd_van_1217_jaar,inwoners_in_de_leeftijd_van_1824_jaar,inwoners_in_de_leeftijd_van_2539_jaar,inwoners_in_de_leeftijd_van_4054_jaar,inwoners_in_de_leeftijd_van_5564_jaar,inwoners_in_de_leeftijd_van_6574_jaar,inwoners_in_de_leeftijd_van_7584_jaar,inwoners_in_de_leeftijd_van_85_jaar_en_ouder,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden,huishoudens_onder_105_van_sociaal_minimum
binnenstad-zuid,1381,1382,2242,40.0,59.0,66.0,462.0,926.0,326.0,156.0,140.0,55.0,12.0,165,1870,207,30400,10
binnenstad-noord,571,574,848,14.0,11.0,11.0,148.0,394.0,126.0,55.0,67.0,19.0,3.0,36,723,89,28600,10
noordereiland,348,365,590,12.0,18.0,20.0,50.0,139.0,126.0,93.0,98.0,25.0,9.0,50,408,132,36100,9
het noorden,1030,1035,1478,45.0,41.0,19.0,433.0,479.0,191.0,98.0,72.0,78.0,22.0,105,1201,172,22000,23
schildersbuurt,175,175,368,13.0,31.0,16.0,44.0,81.0,81.0,44.0,33.0,23.0,2.0,60,250,58,26200,12
bollebieste,941,941,1741,77.0,125.0,89.0,183.0,475.0,320.0,162.0,132.0,118.0,60.0,291,1140,310,22100,19
dieze-centrum,559,561,983,35.0,43.0,43.0,179.0,324.0,161.0,93.0,63.0,34.0,8.0,121,757,105,25000,13
bagijneweide,430,442,793,16.0,29.0,28.0,155.0,173.0,134.0,76.0,81.0,71.0,30.0,73,538,182,32400,6
hogenkamp,1951,1960,3247,162.0,210.0,123.0,360.0,1209.0,507.0,233.0,165.0,149.0,129.0,495,2309,443,23000,16
indischebuurt,581,581,1029,46.0,88.0,51.0,125.0,334.0,184.0,87.0,70.0,33.0,11.0,185,730,114,20400,26
