buurt_naam,woningen,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_03_jaar,inwoners_in_de_leeftijd_van_411_jaar,inwoners_in_de_leeftijd_van_1217_jaar,inwoners_in_de_leeftijd_van_1824_jaar,inwoners_in_de_leeftijd_van_2539_jaar,inwoners_in_de_leeftijd_van_4054_jaar,inwoners_in_de_leeftijd_van_5564_jaar,inwoners_in_de_leeftijd_van_6574_jaar,inwoners_in_de_leeftijd_van_7584_jaar,inwoners_in_de_leeftijd_van_85_jaar_en_ouder,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden,huishoudens_onder_105_van_sociaal_minimum,year
binnenstad-zuid,1253,1254,2046,47.0,72.0,41.0,427.0,813.0,316.0,160.0,115.0,48.0,7.0,160,1716,170,29200.0,12,2015
binnenstad-noord,548,551,801,13.0,9.0,8.0,154.0,358.0,114.0,62.0,65.0,16.0,2.0,30,688,83,26500.0,10,2015
noordereiland,316,337,556,21.0,21.0,20.0,49.0,145.0,93.0,93.0,77.0,23.0,14.0,62,380,114,31800.0,10,2015
het noorden,902,906,1363,53.0,47.0,24.0,378.0,430.0,172.0,80.0,83.0,77.0,19.0,124,1060,179,22300.0,16,2015
schildersbuurt,174,174,391,21.0,30.0,20.0,46.0,100.0,80.0,38.0,37.0,18.0,1.0,71,264,56,24500.0,18,2015
bollebieste,856,856,1684,77.0,139.0,89.0,147.0,439.0,312.0,161.0,154.0,108.0,58.0,305,1059,320,19800.0,22,2015
dieze-centrum,558,560,1013,39.0,49.0,40.0,201.0,307.0,164.0,102.0,63.0,40.0,8.0,128,774,111,22900.0,13,2015
bagijneweide,398,409,744,23.0,25.0,28.0,125.0,168.0,136.0,82.0,76.0,50.0,31.0,76,511,157,28800.0,11,2015
hogenkamp,1896,1905,3065,156.0,189.0,83.0,351.0,1180.0,476.0,188.0,165.0,142.0,135.0,428,2195,442,21100.0,18,2015
indischebuurt,579,579,1079,65.0,81.0,46.0,182.0,318.0,186.0,86.0,75.0,26.0,14.0,192,772,115,18900.0,24,2015
meppelerstraatweg-zuid,264,264,376,23.0,14.0,6.0,47.0,170.0,73.0,25.0,10.0,5.0,3.0,43,315,18,18600.0,20,2015
bedrijventerrein floresstraat,185,186,417,59.0,40.0,12.0,15.0,162.0,77.0,23.0,16.0,13.0,0.0,111,277,29,29400.0,5,2015
wipstrik-noord,1292,1295,3061,175.0,355.0,229.0,202.0,624.0,658.0,378.0,246.0,141.0,53.0,759,1862,440,35000.0,3,2015
wipstrik-zuid,1848,1852,3404,173.0,239.0,162.0,284.0,828.0,667.0,382.0,343.0,220.0,106.0,574,2161,669,24300.0,12,2015
stationsbuurt,563,569,1423,70.0,115.0,68.0,326.0,349.0,220.0,116.0,87.0,41.0,31.0,253,1011,159,32700.0,10,2015
oud-assendorp,1973,1975,4190,226.0,256.0,133.0,938.0,1378.0,691.0,235.0,152.0,91.0,90.0,615,3242,333,25800.0,9,2015
nieuw-assendorp,1405,1405,3171,229.0,332.0,169.0,427.0,818.0,621.0,274.0,179.0,95.0,27.0,730,2140,301,25400.0,9,2015
wezenlanden,340,378,617,18.0,39.0,27.0,32.0,105.0,111.0,100.0,113.0,48.0,24.0,84,348,185,23300.0,17,2015
pierik,1100,1110,2161,114.0,208.0,114.0,150.0,601.0,460.0,248.0,189.0,61.0,16.0,436,1459,266,23000.0,14,2015
bedrijventerrein marslanden-noord,0,14,36,1.0,2.0,9.0,2.0,3.0,14.0,5.0,0.0,0.0,0.0,12,24,0,,.,2015
hanzeland,522,522,1021,37.0,51.0,49.0,124.0,226.0,230.0,131.0,108.0,46.0,19.0,137,711,173,32100.0,4,2015
kamperpoort,735,735,1338,40.0,48.0,34.0,266.0,353.0,158.0,94.0,101.0,113.0,131.0,122,871,345,20300.0,20,2015
veerallee,539,539,1450,69.0,160.0,116.0,225.0,226.0,311.0,156.0,97.0,64.0,26.0,345,918,187,34100.0,5,2015
bedrijventerrein voorst-a,44,44,60,1.0,0.0,0.0,12.0,35.0,10.0,2.0,0.0,0.0,0.0,1,59,0,,.,2015
bedrijventerrein voorst-b,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,-,2015
spoolde,116,116,309,6.0,36.0,25.0,21.0,25.0,79.0,58.0,47.0,11.0,1.0,67,183,59,32700.0,0,2015
oud-westenholte,929,935,2327,129.0,270.0,197.0,153.0,436.0,462.0,273.0,199.0,161.0,47.0,596,1324,407,25900.0,7,2015
westenholte-stins,1101,1106,2784,122.0,295.0,250.0,204.0,468.0,639.0,477.0,253.0,66.0,10.0,667,1788,329,26900.0,5,2015
vreugderijk,65,65,191,3.0,13.0,19.0,22.0,18.0,40.0,37.0,28.0,10.0,1.0,35,117,39,,.,2015
bedrijventerrein voorst-c,1,2,6,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0,5,1,,-,2015
bedrijventerrein voorst-d,1,1,6,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1,3,2,,-,2015
frankhuis,1985,2033,5999,424.0,1214.0,572.0,254.0,1392.0,1596.0,311.0,134.0,81.0,21.0,2210,3553,236,29000.0,6,2015
mastenbroek,20,20,59,1.0,6.0,6.0,7.0,10.0,15.0,12.0,1.0,1.0,0.0,13,44,2,,.,2015
schoonhorst,1860,1860,4487,266.0,573.0,374.0,300.0,1032.0,1123.0,370.0,277.0,141.0,31.0,1213,2825,449,28100.0,7,2015
werkeren,1337,1349,4240,524.0,789.0,276.0,133.0,1296.0,771.0,133.0,101.0,129.0,88.0,1589,2333,318,29900.0,4,2015
milligen,2740,2743,7081,407.0,1073.0,595.0,368.0,1484.0,1864.0,562.0,483.0,196.0,49.0,2075,4278,728,29400.0,4,2015
de tippe,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,-,2015
breecamp,338,338,880,113.0,132.0,62.0,62.0,387.0,97.0,20.0,6.0,1.0,0.0,307,566,7,26100.0,9,2015
breezicht,4,4,11,0.0,0.0,2.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,2,8,1,,-,2015
stadsbroek,19,19,54,0.0,3.0,9.0,9.0,0.0,16.0,9.0,7.0,1.0,0.0,12,34,8,,.,2015
holtenbroek iv,1624,1624,3117,120.0,218.0,142.0,284.0,623.0,517.0,329.0,362.0,319.0,203.0,480,1753,884,20300.0,20,2015
holtenbroek i,855,856,1825,142.0,211.0,97.0,152.0,636.0,320.0,130.0,105.0,21.0,11.0,450,1238,137,26000.0,9,2015
holtenbroek ii,1244,1248,2576,182.0,299.0,148.0,307.0,825.0,469.0,151.0,126.0,62.0,7.0,629,1752,195,20900.0,18,2015
holtenbroek iii,1077,1082,2420,145.0,250.0,137.0,260.0,654.0,490.0,248.0,138.0,87.0,11.0,532,1652,236,20800.0,17,2015
aa-landen-zuid,1045,1045,2253,103.0,176.0,168.0,194.0,349.0,472.0,240.0,290.0,214.0,47.0,447,1255,551,22900.0,12,2015
aa-landen-midden,1987,1987,3694,139.0,274.0,167.0,200.0,677.0,681.0,440.0,460.0,423.0,233.0,580,1998,1116,23900.0,12,2015
aa-landen-noord,1592,1596,3784,176.0,349.0,260.0,240.0,499.0,749.0,591.0,631.0,249.0,40.0,785,2079,920,28300.0,5,2015
aa-landen-oost,1425,1430,3275,142.0,273.0,219.0,196.0,530.0,640.0,558.0,527.0,170.0,20.0,634,1924,717,27600.0,6,2015
brinkhoek,263,263,605,10.0,33.0,53.0,28.0,46.0,121.0,104.0,129.0,65.0,16.0,96,299,210,50300.0,4,2015
langenholte,41,41,110,1.0,6.0,19.0,9.0,6.0,33.0,20.0,13.0,3.0,0.0,26,68,16,,.,2015
haerst,104,106,296,7.0,18.0,33.0,31.0,33.0,71.0,49.0,36.0,14.0,4.0,58,184,54,35200.0,9,2015
berkum,1657,1674,3709,128.0,310.0,280.0,195.0,401.0,751.0,505.0,506.0,420.0,213.0,718,1852,1139,31100.0,5,2015
bedrijventerrein de vrolijkheid,9,12,9,0.0,0.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1,8,0,,-,2015
veldhoek,97,97,238,9.0,15.0,26.0,18.0,26.0,40.0,39.0,32.0,29.0,4.0,50,123,65,,.,2015
kantorenterrein oosterenk,10,10,13,0.0,0.0,0.0,3.0,3.0,1.0,2.0,2.0,2.0,0.0,0,9,4,,.,2015
bedrijventerrein hessenpoort,29,29,73,2.0,6.0,12.0,4.0,7.0,15.0,12.0,6.0,9.0,0.0,20,38,15,,.,2015
tolhuislanden,52,52,184,11.0,15.0,24.0,31.0,27.0,36.0,18.0,18.0,4.0,0.0,50,112,22,,.,2015
herfte,134,134,383,11.0,34.0,53.0,29.0,35.0,77.0,75.0,37.0,22.0,10.0,98,216,69,34400.0,0,2015
bedrijventerrein marslanden-zuid,7,7,138,1.0,10.0,4.0,19.0,43.0,48.0,10.0,1.0,2.0,0.0,15,120,3,,.,2015
wijthmen,243,244,621,36.0,46.0,45.0,50.0,99.0,123.0,89.0,72.0,50.0,11.0,127,361,133,28500.0,4,2015
oud-schelle,436,436,1188,53.0,139.0,114.0,87.0,149.0,312.0,141.0,119.0,48.0,26.0,306,689,193,32300.0,2,2015
schellerhoek,366,369,1036,37.0,114.0,106.0,101.0,121.0,327.0,164.0,57.0,8.0,1.0,257,713,66,34500.0,0,2015
schellerbroek,691,691,1511,47.0,82.0,106.0,168.0,253.0,329.0,277.0,150.0,77.0,22.0,235,1027,249,31400.0,5,2015
schellerlanden,1187,1195,2821,114.0,197.0,229.0,232.0,321.0,658.0,568.0,326.0,141.0,35.0,540,1779,502,29600.0,6,2015
oldenelerlanden-oost,1005,1005,2496,140.0,244.0,202.0,199.0,446.0,639.0,411.0,141.0,55.0,19.0,586,1695,215,28100.0,5,2015
