Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Aardgasverbruik woningen [miljoen m3],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],Aardgasverbruik woningen (temperatuurgecorrigeerd) [miljoen m3],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",CO2-uitstoot Woningen (aardgas) [kton],Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met verwarming op basis van aardgas  (benadering) [aantal],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],Vermogen geregistreerde zonnepanelen woningen [kW],Vermogen geregistreerde zonnepanelen per woning [Wattpiek],Wind op land fysiek opgesteld vermogen [MW],Percentage woningen met geregistreerde zonnepanelen [%],Huishoudens [aantal],Bevolking totaal [aantal],Gemiddeld inkomen per inwoner [€],Gemiddeld inkomen per huishouden [€]
Binnenstad-Zuid,55,1.6,3.7,1.7,1.9,3.1,2.9,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350,2045,32100,48600
Binnenstad-Noord,17,0.5,1.1,0.5,0.6,1,0.9,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560,800,29500,42100
Noordereiland,11,0.3,0.7,0.4,0.4,0.6,0.6,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335,555,32400,53700
Het Noorden,24,0.7,1.4,0.8,0.8,1.3,1.3,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,950,1360,19500,27900
Schildersbuurt,5,0.2,0.4,0.2,0.2,0.3,0.3,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180,390,20300,44000
Bollebieste,30,0.9,1.8,1,1.0,1.7,1.6,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,825,1685,16800,34300
Dieze-Centrum,20,0.6,1.3,0.6,0.7,1.1,1.1,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615,1010,21600,35500
Bagijneweide,17,0.5,1.1,0.5,0.6,1,0.9,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440,745,28100,47600
Hogenkamp,58,1.7,3.7,1.8,1.9,3.3,3.1,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940,3065,20700,32700
Indischebuurt,18,0.5,1.2,0.6,0.6,1,0.9,0.62,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615,1085,16400,28900
