Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],year
Binnenstad-Zuid,55,3.7,1.9,3.1,0.62,0.22,0.0,0.0,2015
Binnenstad-Noord,17,1.1,0.6,1,0.62,0.22,0.0,0.0,2015
Noordereiland,11,0.7,0.4,0.6,0.62,0.22,0.0,0.0,2015
Het Noorden,24,1.4,0.8,1.3,0.62,0.22,0.0,0.0,2015
Schildersbuurt,5,0.4,0.2,0.3,0.62,0.22,0.0,0.0,2015
Bollebieste,30,1.8,1.0,1.7,0.62,0.22,0.0,0.0,2015
Dieze-Centrum,20,1.3,0.7,1.1,0.62,0.22,0.0,0.0,2015
Bagijneweide,17,1.1,0.6,1,0.62,0.22,0.0,0.0,2015
Hogenkamp,58,3.7,1.9,3.3,0.62,0.22,0.0,0.0,2015
Indischebuurt,18,1.2,0.6,1,0.62,0.22,0.0,0.0,2015
Meppelerstraatweg-Zuid,6,0.4,0.2,0.4,0.62,0.22,0.0,0.0,2015
Bedrijventerrein Floresstraat,5,0.4,0.2,0.3,0.62,0.22,0.0,0.0,2015
Wipstrik-Noord,63,3.7,2.0,3.5,0.62,0.22,0.0,0.0,2015
Wipstrik-Zuid,66,4.4,2.3,3.7,0.62,0.22,0.0,0.0,2015
Stationsbuurt,28,1.6,0.9,1.6,0.62,0.22,0.0,0.0,2015
Oud-Assendorp,79,4.6,2.4,4.4,0.62,0.22,0.0,0.0,2015
Nieuw-Assendorp,56,3.2,1.7,3.2,0.62,0.22,0.0,0.0,2015
Wezenlanden,14,0.8,0.4,0.8,0.62,0.22,0.0,0.0,2015
Pierik,38,2.2,1.2,2.2,0.62,0.22,0.0,0.0,2015
Bedrijventerrein Marslanden-Noord,?,0.0,0.0,?,0.62,0.22,0.0,0.0,2015
Hanzeland,17,1.3,0.7,1,0.62,0.22,0.0,0.0,2015
Kamperpoort,20,1.5,0.8,1.1,0.62,0.22,0.0,0.0,2015
Veerallee,35,1.9,1.0,2,0.62,0.22,0.0,0.0,2015
Bedrijventerrein Voorst-A,1,0.1,0.1,0.1,0.62,0.22,0.0,0.0,2015
Bedrijventerrein Voorst-B,?,0.0,0.0,?,0.62,0.22,0.0,0.0,2015
Spoolde,7,0.4,0.2,0.4,0.62,0.22,0.0,0.0,2015
Oud-Westenholte,42,2.8,1.5,2.4,0.62,0.22,0.0,0.0,2015
Westenholte-Stins,42,3.2,1.7,2.4,0.62,0.22,0.0,0.0,2015
Vreugderijk,4,0.3,0.2,0.2,0.62,0.22,0.0,0.0,2015
Bedrijventerrein Voorst-C,?,0.0,0.0,?,0.62,0.22,0.0,0.0,2015
Bedrijventerrein Voorst-D,?,0.0,0.0,?,0.62,0.22,0.0,0.0,2015
Frankhuis,66,6.2,3.3,3.7,0.62,0.22,0.0,0.0,2015
Mastenbroek,2,0.0,0.0,0.1,0.62,0.22,0.0,0.0,2015
Schoonhorst,58,5.1,2.7,3.3,0.62,0.22,0.0,0.0,2015
Werkeren,47,4.1,2.2,2.7,0.62,0.22,0.0,0.0,2015
Milligen,78,8.0,4.2,4.4,0.62,0.22,0.0,0.0,2015
Tippe bij de IJssel,?,0.0,0.0,?,0.62,0.22,0.0,0.0,2015
Breecamp,0,1.0,0.5,0,0.62,0.22,0.0,0.0,2015
Breezicht,0,0.0,0.0,0,0.62,0.22,0.0,0.0,2015
Stadsbroek,2,0.1,0.1,0.1,0.62,0.22,0.0,0.0,2015
