datum_afspraak_coachgesprek,postcode,telling,valid_postcode,latitude,longitude
2023-04-01,8024AP,1,True,52.5237895,6.1417884
2023-05-01,8016HM,2,True,52.489114,6.103673
2023-05-01,8032EN,3,True,52.5314604,6.0945707
2023-06-01,8024BB,4,True,52.5264426,6.1353515
2023-06-01,8024PC,5,True,52.5150632,6.1370627
2023-11-01,8032CP,6,True,52.5269118,6.1123751
2023-01-13,8011JH,7,True,52.508395,6.0954262
2023-01-16,8032TD,8,True,52.5389052,6.0994354
2023-01-18,8017BA,9,True,52.4965111,6.1028757
2023-01-19,8033CB,10,True,52.5366073,6.1109938
2023-01-20,8014JP,11,True,52.4862978,6.1195566
2023-01-23,8032TR,12,True,52.5378231,6.0988546
2023-01-23,8032XZ,13,True,52.5356878,6.1036825
2023-01-23,8034RA,14,True,52.5353743,6.1201756
2023-01-24,8032TB,15,True,52.5392911,6.098988
2023-01-27,8011ET,16,True,52.5091151,6.0993667
2023-01-02,8032NE,17,True,52.5404068,6.0942109
2023-02-02,8016LM,18,True,52.4765285,6.10261
2023-02-02,8032CG,19,True,52.5283509,6.1108969
2023-02-02,8032NP,20,True,52.5410728,6.0966042
2023-03-02,8012DW,21,True,52.5044294,6.1045888
2023-07-02,8033DW,22,True,52.5380507,6.1071863
2023-08-02,8033BX,23,True,52.5305342,6.1135849
2023-08-02,8033BN,24,True,52.5339495,6.1137639
2023-08-02,8032TM,25,True,52.5368987,6.0995256
2023-09-02,8013ZA,26,True,52.5029045,6.1131001
2023-09-02,8032LR,27,True,52.5379465,6.0926672
2023-02-13,8033EG,28,True,52.5361158,6.1067215
2023-02-13,8031DC,29,True,52.5248056,6.0917596
2023-02-14,8016ER,30,True,52.4872073,6.1019567
2023-02-15,8033CN,31,True,52.537559,6.1122938
2023-02-16,8016LA,32,True,52.4790593,6.1028913
2023-02-17,8023BV,33,True,52.5157733,6.1175959
2023-02-17,8012BN,34,True,52.5038364,6.1102544
2023-02-17,8031DB,35,True,52.5259081,6.0914836
2023-02-17,8017BH,36,True,52.4986786,6.0995528
2023-02-18,8014CX,37,True,52.486829,6.1155795
2023-02-20,8015BL,38,True,52.4748331,6.1190883
2023-02-20,8042AT,39,True,52.5205188,6.0515504
2023-02-20,8031CA,40,True,52.5276373,6.080884
2023-02-22,8033EG,41,True,52.5361158,6.1067215
2023-02-23,8042GB,42,True,52.5230814,6.0445386
2023-02-23,8043EH,43,True,52.5376546,6.0605231
2023-02-24,8032JN,44,True,52.5331801,6.1044585
2023-02-28,8016LM,45,True,52.4765285,6.10261
2023-02-28,8035RA,46,True,52.5723523,6.162514
2023-01-03,8042NR,47,True,52.5184481,6.0475417
2023-01-03,8011LC,48,True,52.5111133,6.087622
2023-07-03,8014HD,49,True,52.4838306,6.1243483
2023-07-03,8016DS,50,True,52.4855348,6.0979679
2023-07-03,8017NA,51,True,52.4943479,6.097803
2023-08-03,8016LM,52,True,52.4765285,6.10261
2023-08-03,8016AP,53,True,52.4835218,6.1037895
2023-10-03,8042CX,54,True,52.5238109,6.047755
2023-10-03,8032JK,55,True,52.5318581,6.1044671
2023-03-13,8014JA,56,True,52.4860343,6.1193313
2023-03-13,8033DH,57,True,52.5404676,6.1074654
2023-03-14,8016LT,58,True,52.4790402,6.1048635
2023-03-16,8014JK,59,True,52.4876773,6.1225061
2023-03-17,8017AM,60,True,52.4986025,6.0936754
2023-03-20,8023BG,61,True,52.516095,6.1162903
2023-03-23,8012VM,62,True,52.5043126,6.098709
2023-03-24,8014ZC,63,True,52.4870724,6.1090202
2023-03-24,8017MC,64,True,52.4919765,6.0969483
2023-03-31,8014JK,65,True,52.4876773,6.1225061
2023-03-31,8016AK,66,True,52.4848938,6.1037797
2023-03-04,8025AR,67,True,52.5092813,6.121105
2023-04-04,8015PT,68,True,52.4472268,6.1124686
2023-07-04,8015PW,69,True,52.4573566,6.1132231
2023-04-13,8016MG,70,True,52.4750909,6.1085428
2023-04-14,8014GE,71,True,52.4888401,6.120842
2023-04-19,8014EJ,72,True,52.4914725,6.1134195
2023-04-19,8014CD,73,True,52.4910941,6.1106812
2023-04-19,8017DE,74,True,52.4980057,6.0849842
2023-04-23,8032TE,75,True,52.5394608,6.1001388
2023-04-24,8016AW,76,True,52.4838412,6.1050064
2023-04-25,8022RT,77,True,52.5205052,6.1111206
2023-04-28,8032LM,78,True,52.5374576,6.0904342
2023-02-05,8012WD,79,True,52.5053536,6.1018159
2023-10-05,8014CT,80,True,52.4867946,6.1140226
2023-10-05,8023DJ,81,True,52.513963,6.1137789
2023-12-05,8014AM,82,True,52.4865822,6.1105746
2023-12-05,8043VN,83,True,52.5287916,6.0544885
2023-05-15,8017JB,84,True,52.5015206,6.0935362
2023-05-16,8014MN,85,True,52.4820372,6.1198842
2023-05-17,8016LL,86,True,52.4777643,6.1050875
2023-05-22,8032LM,87,True,52.5374576,6.0904342
2023-05-22,8032TE,88,True,52.5394608,6.1001388
2023-05-25,8015BR,89,True,52.4751375,6.1202441
2023-05-30,8032XG,90,True,52.5347898,6.0921179
2023-06-25,8032JG,91,True,52.5326988,6.1031723
2023-06-29,8012WX,92,True,52.5055975,6.1045009
2023-02-08,8012WN,93,True,52.5052249,6.1011539
2023-08-14,8012DZ,94,True,52.504133,6.1052918
2023-08-18,8012AJ,95,True,52.5044596,6.0977074
2023-08-24,8032GA,96,True,52.5301649,6.0980251
2023-04-09,8012DL,97,True,52.5032312,6.1054832
2023-09-15,8014PN,98,True,52.4764792,6.112716
2023-09-18,8033BH,99,True,52.5323496,6.1143251
2023-09-20,8032DT,100,True,52.5286159,6.0996335
2023-09-22,8022BC,101,True,52.5231648,6.1150093
2023-09-28,8032AH,102,True,52.5250269,6.1016904
2023-02-10,8032GN,103,True,52.5310689,6.0997949
2023-11-10,8014PA,104,True,52.4777946,6.1146912
2023-10-13,8012XS,105,True,52.5027033,6.1085959
2023-10-16,8033CK,106,True,52.5370245,6.1110081
2023-10-17,8016GC,107,True,52.4884728,6.097649
2023-10-20,8012CW,108,True,52.5017274,6.1055553
2023-10-24,8017NM,109,True,52.4946295,6.0935105
2023-10-27,8032ZJ,110,True,52.5351028,6.0963389
2023-10-27,8012VH,111,True,52.5073158,6.1021295
2023-10-30,8014TM,112,True,52.4796201,6.1153052
2023-10-30,8032KX,113,True,52.530026,6.1066131
