postcode_agg,plaats,gemeentenaam,gemeentecode,wijknaam,buurtnaam,deelprogramma,subsidiejaar,techniek,subcategorie,aantal_adressen,totale_vermogen,aantal_m2,aantal_app
8011AC,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2023.0,Dakisolatie,Dakisolatie,1.0,,126.0,
8011AD,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8011AD,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,95.0,
8011AD,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2023.0,Warmtepomp,Lucht-water < 1 kW,1.0,0.0,,1.0
8011AD,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2024.0,Warmtepomp,Lucht-water >= 3,,,,
8011AK,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2022.0,Dakisolatie,Dakisolatie,1.0,,200.0,
8011AK,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
8011AP,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2022.0,Glasisolatie,Isolerende deur Ud <= 1,,,,
8011AP,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2022.0,Glasisolatie,Panelen in kozijn U <= 0,,,,
8011AP,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2022.0,Glasisolatie,Triple glas U <= 0,,,,
8011AP,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2022.0,Vloerisolatie,Vloerisolatie,1.0,,42.0,
8011AP,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2023.0,Glasisolatie,HR++ glas U <= 1,,,,
8011AP,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2023.0,Glasisolatie,Isolerende deur Ud <= 1,,,,
8011AP,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2023.0,Glasisolatie,Panelen in kozijn U <= 0,,,,
8011AP,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2023.0,Vloerisolatie,Vloerisolatie,1.0,,40.0,
8011AP,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2024.0,Glasisolatie,HR++ glas U <= 1,,,,
8011AP,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2024.0,Vloerisolatie,Vloerisolatie,1.0,,44.0,
8011AR,ZWOLLE,Zwolle,193.0,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,PARTICULIEREN,2022.0,Glasisolatie,HR++ glas U <= 1,,,,
