telling,datum_afspraak_coachgesprek,postcode,latitude,longitude
1,2023-04-01,8024AP,52.52378946875,6.141788425
2,2023-05-01,8016HM,52.48911400555556,6.103672972222222
3,2023-05-01,8032EN,52.531460355,6.0945707
4,2023-06-01,8024BB,52.52644264,6.13535149
5,2023-06-01,8024PC,52.51506325,6.137062736363637
6,2023-11-01,8032CP,52.52691175625,6.11237513125
7,2023-01-13,8011JH,52.50839496875,6.0954262375
8,2023-01-16,8032TD,52.53890523809524,6.099435414285714
9,2023-01-18,8017BA,52.49651109387755,6.1028757
10,2023-01-19,8033CB,52.536607339999996,6.11099376
11,2023-01-20,8014JP,52.48629783571429,6.119556621428572
12,2023-01-23,8032TR,52.537823110000005,6.098854615
13,2023-01-23,8032XZ,52.5356877826087,6.103682508695653
14,2023-01-23,8034RA,52.53537434,6.120175573333333
15,2023-01-24,8032TB,52.539291127999995,6.0989880240000005
16,2023-01-27,8011ET,52.50911508181818,6.099366719696969
17,2023-01-02,8032NE,52.54040678571429,6.0942109
18,2023-02-02,8016LM,52.47652853448276,6.102609979310345
19,2023-02-02,8032CG,52.52835091818182,6.110896936363637
20,2023-02-02,8032NP,52.541072777272724,6.096604240909091
21,2023-03-02,8012DW,52.50442939047619,6.104588761904762
22,2023-07-02,8033DW,52.538050708,6.107186292
23,2023-08-02,8033BX,52.53053415555556,6.113584933333334
24,2023-08-02,8033BN,52.5339494625,6.1137639375
25,2023-08-02,8032TM,52.536898685000004,6.09952559
26,2023-09-02,8013ZA,52.50290450869565,6.113100078260869
27,2023-09-02,8032LR,52.53794647272728,6.092667227272727
28,2023-02-13,8033EG,52.53611576666667,6.106721476190476
29,2023-02-13,8031DC,52.52480561666667,6.0917596
30,2023-02-14,8016ER,52.48720728888889,6.101956716666667
31,2023-02-15,8033CN,52.53755900833333,6.112293775
32,2023-02-16,8016LA,52.47905933333333,6.102891348717948
33,2023-02-17,8023BV,52.51577331666667,6.117595875
34,2023-02-17,8012BN,52.50383636666667,6.110254416666667
35,2023-02-17,8031DB,52.52590807083333,6.091483620833333
36,2023-02-17,8017BH,52.498678642307695,6.099552823076923
37,2023-02-18,8014CX,52.48682896923077,6.115579469230769
38,2023-02-20,8015BL,52.474833147058824,6.1190883
39,2023-02-20,8042AT,52.52051880892857,6.051550432142857
40,2023-02-20,8031CA,52.52763728,6.080883993333333
41,2023-02-22,8033EG,52.53611576666667,6.106721476190476
42,2023-02-23,8042GB,52.52308135714286,6.044538566666667
43,2023-02-23,8043EH,52.537654596875,6.060523128125
44,2023-02-24,8032JN,52.53318012857142,6.104458528571429
45,2023-02-28,8016LM,52.47652853448276,6.102609979310345
46,2023-02-28,8035RA,52.572352280000004,6.16251404
47,2023-01-03,8042NR,52.5184481,6.047541653333333
48,2023-01-03,8011LC,52.5111132826087,6.087621960869565
49,2023-07-03,8014HD,52.48383058666667,6.1243483
50,2023-07-03,8016DS,52.485534771428576,6.097967921428571
51,2023-07-03,8017NA,52.49434791111111,6.097803033333333
52,2023-08-03,8016LM,52.47652853448276,6.102609979310345
53,2023-08-03,8016AP,52.48352175,6.10378949
54,2023-10-03,8042CX,52.52381090625,6.04775500625
55,2023-10-03,8032JK,52.5318581,6.1044671125
56,2023-03-13,8014JA,52.486034289473686,6.119331278947368
57,2023-03-13,8033DH,52.54046761111111,6.1074654
58,2023-03-14,8016LT,52.47904020869565,6.1048634565217395
59,2023-03-16,8014JK,52.487677261904764,6.122506095238095
60,2023-03-17,8017AM,52.49860251463414,6.0936753585365855
61,2023-03-20,8023BG,52.516095,6.116290338461538
62,2023-03-23,8012VM,52.50431255,6.098709
63,2023-03-24,8014ZC,52.48707243333333,6.1090202
64,2023-03-24,8017MC,52.4919765375,6.0969482625
65,2023-03-31,8014JK,52.487677261904764,6.122506095238095
66,2023-03-31,8016AK,52.48489381666667,6.103779727777778
