postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie,latitude,longitude
8011AC,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Dakisolatie,Dakisolatie,52.51000683235294,6.085365994117647
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,HR++ glas U <= 1,52.509096178125,6.084539809375
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Vloerisolatie,Vloerisolatie,52.509096178125,6.084539809375
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Warmtepomp,Lucht-water < 1 kW,52.509096178125,6.084539809375
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024.0,Warmtepomp,Lucht-water >= 3,52.509096178125,6.084539809375
8011AK,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Dakisolatie,Dakisolatie,52.51141848016878,6.085590356962025
8011AK,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,HR++ glas U <= 1,52.51141848016878,6.085590356962025
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,Isolerende deur Ud <= 1,52.51209254285714,6.082825971428572
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,Panelen in kozijn U <= 0,52.51209254285714,6.082825971428572
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,Triple glas U <= 0,52.51209254285714,6.082825971428572
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Vloerisolatie,Vloerisolatie,52.51209254285714,6.082825971428572
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Glasisolatie,HR++ glas U <= 1,52.51209254285714,6.082825971428572
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Glasisolatie,Isolerende deur Ud <= 1,52.51209254285714,6.082825971428572
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Glasisolatie,Panelen in kozijn U <= 0,52.51209254285714,6.082825971428572
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Vloerisolatie,Vloerisolatie,52.51209254285714,6.082825971428572
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024.0,Glasisolatie,HR++ glas U <= 1,52.51209254285714,6.082825971428572
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024.0,Vloerisolatie,Vloerisolatie,52.51209254285714,6.082825971428572
8011AR,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,HR++ glas U <= 1,52.51225158672566,6.083663091150442
8011AV,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3,52.51286515423729,6.084294322033899
8011AW,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Dakisolatie,Dakisolatie,52.51332243888889,6.081562022222222
8011AW,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Vloerisolatie,Vloerisolatie,52.51332243888889,6.081562022222222
8011AW,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024.0,Glasisolatie,Triple glas U <= 0,52.51332243888889,6.081562022222222
8011BD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,52.51298861363636,6.082358518181818
8011BD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Vloerisolatie,Vloerisolatie,52.51298861363636,6.082358518181818
8011BV,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2021.0,Warmtepomp,Lucht-water > 10 kW en <= 70 kW,52.51291462785388,6.085775389497717
8011BZ,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,52.51372017419355,6.08113534516129
8011BZ,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024.0,Glasisolatie,HR++ glas U <= 1,52.51372017419355,6.08113534516129
8011CB,Wijk 13 Assendorp,Stationsbuurt,2023.0,Glasisolatie,HR++ glas U <= 1,52.50699353571429,6.088541742857142
8011CB,Wijk 13 Assendorp,Stationsbuurt,2023.0,Vloerisolatie,Vloerisolatie,52.50699353571429,6.088541742857142
8011CD,Wijk 13 Assendorp,Stationsbuurt,2022.0,Dakisolatie,Dakisolatie,52.50751544166667,6.0890807166666665
8011CD,Wijk 13 Assendorp,Stationsbuurt,2023.0,Glasisolatie,HR++ glas U <= 1,52.50751544166667,6.0890807166666665
8011CD,Wijk 13 Assendorp,Stationsbuurt,2024.0,Dakisolatie,Dakisolatie,52.50751544166667,6.0890807166666665
8011CD,Wijk 13 Assendorp,Stationsbuurt,2024.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.50751544166667,6.0890807166666665
8011CD,Wijk 13 Assendorp,Stationsbuurt,2024.0,Glasisolatie,HR++ glas U <= 1,52.50751544166667,6.0890807166666665
8011CD,Wijk 13 Assendorp,Stationsbuurt,2024.0,Vloerisolatie,Vloerisolatie,52.50751544166667,6.0890807166666665
8011CE,Wijk 13 Assendorp,Stationsbuurt,2022.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.50723656153846,6.089295615384615
8011CE,Wijk 13 Assendorp,Stationsbuurt,2022.0,Glasisolatie,HR++ glas U <= 1,52.50723656153846,6.089295615384615
8011CE,Wijk 13 Assendorp,Stationsbuurt,2022.0,Vloerisolatie,Vloerisolatie,52.50723656153846,6.089295615384615
8011CE,Wijk 13 Assendorp,Stationsbuurt,2023.0,Dakisolatie,Dakisolatie,52.50723656153846,6.089295615384615
8011CE,Wijk 13 Assendorp,Stationsbuurt,2023.0,Gevelisolatie,Binnen- of buitengevelisolatie,52.50723656153846,6.089295615384615
8011CE,Wijk 13 Assendorp,Stationsbuurt,2023.0,Glasisolatie,HR++ glas U <= 1,52.50723656153846,6.089295615384615
8011CE,Wijk 13 Assendorp,Stationsbuurt,2023.0,Vloerisolatie,Vloerisolatie,52.50723656153846,6.089295615384615
8011CE,Wijk 13 Assendorp,Stationsbuurt,2024.0,Glasisolatie,HR++ glas U <= 1,52.50723656153846,6.089295615384615
8011CE,Wijk 13 Assendorp,Stationsbuurt,2024.0,Warmtepomp,Lucht-water >= 3,52.50723656153846,6.089295615384615
8011CG,Wijk 13 Assendorp,Stationsbuurt,2022.0,Spouwmuurisolatie,Spouwmuurisolatie,52.507764490909096,6.089525563636363
8011CJ,Wijk 13 Assendorp,Stationsbuurt,2023.0,Glasisolatie,HR++ glas U <= 1,52.50768062142857,6.088382928571428
8011CJ,Wijk 13 Assendorp,Stationsbuurt,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,52.50768062142857,6.088382928571428
8011CJ,Wijk 13 Assendorp,Stationsbuurt,2023.0,Vloerisolatie,Vloerisolatie,52.50768062142857,6.088382928571428
8011CJ,Wijk 13 Assendorp,Stationsbuurt,2023.0,Warmtepomp,Lucht-water >= 3,52.50768062142857,6.088382928571428
8011CK,Wijk 13 Assendorp,Stationsbuurt,2021.0,Warmtepomp,Lucht-water >= 3,52.50842695555556,6.087437883333334
8011CK,Wijk 13 Assendorp,Stationsbuurt,2023.0,Warmtepomp,Lucht-water >= 3,52.50842695555556,6.087437883333334
8011CM,Wijk 13 Assendorp,Stationsbuurt,2023.0,Warmtepomp,Lucht-water >= 3,52.509838525,6.08689165
8011CN,Wijk 13 Assendorp,Stationsbuurt,2021.0,Spouwmuurisolatie,Spouwmuurisolatie,52.508922526086955,6.086579047826087
8011CN,Wijk 13 Assendorp,Stationsbuurt,2021.0,Vloerisolatie,Vloerisolatie,52.508922526086955,6.086579047826087
8011CN,Wijk 13 Assendorp,Stationsbuurt,2023.0,Spouwmuurisolatie,Spouwmuurisolatie,52.508922526086955,6.086579047826087
8011CN,Wijk 13 Assendorp,Stationsbuurt,2023.0,Warmtepomp,Lucht-water >= 3,52.508922526086955,6.086579047826087
