projectnummer,programma,realisatiejaar,categorie,latitude,longitude
SCE2110226,SCE,2023,Zonne-energie,52.495598,6.1092469
SCE2112288,SCE,2023,Zonne-energie,52.49503,6.1096136
SCE2112429,SCE,2023,Zonne-energie,52.495169,6.1087527
SCE2114469,SCE,2024,Zonne-energie,52.484701,6.1117188
SCE2114704,SCE,2023,Zonne-energie,52.49503,6.1096136
SCE2115120,SCE,2023,Zonne-energie,52.495169,6.1087527
SCE2115577,SCE,2022,Zonne-energie,52.496905,6.1097983
SCE2116115,SCE,2023,Zonne-energie,52.522945,6.1094185
SCE2118038,SCE,2022,Zonne-energie,52.496167,6.1095245
SCE2118733,SCE,2023,Zonne-energie,52.495511,6.1098565
