buurt_naam,woonruimten_totaal,inwoners_op_1_januari,inwoners_in_de_leeftijd_van_017_jaar,inwoners_in_de_leeftijd_van_1864_jaar,inwoners_in_de_leeftijd_van_65_jaar_en_ouder,gemiddeld_gestandaardiseerd_inkomen_per_huishouden
binnenstad-zuid,1566,2367,141,1997,229,
binnenstad-noord,659,912,35,778,99,
noordereiland,558,864,55,590,219,
het noorden,1220,1670,120,1377,173,
schildersbuurt,175,349,46,241,62,
bollebieste,990,1735,259,1151,325,
dieze-centrum,647,1038,87,842,109,
bagijneweide,502,864,70,601,193,
hogenkamp,2059,3421,544,2414,463,
indischebuurt,594,1010,168,741,101,
meppelerstraatweg-zuid,264,367,44,311,12,
bedrijventerrein floresstraat,186,427,130,255,42,
wipstrik-noord,1305,3072,745,1843,484,
wipstrik-zuid,1861,3358,508,2124,726,
stationsbuurt,590,1415,224,992,199,
oud-assendorp,2133,4220,593,3290,337,
nieuw-assendorp,1424,3081,659,2078,344,
wezenlanden,638,1198,220,734,244,
pierik,1176,2144,378,1470,296,
bedrijventerrein marslanden-noord,14,30,4,22,4,
hanzeland,636,1097,91,786,220,
kamperpoort,1377,2273,191,1656,426,
veerallee,684,1900,499,1183,218,
bedrijventerrein voorst-a,43,54,0,52,2,
bedrijventerrein voorst-b,0,0,0,0,0,
spoolde,117,317,64,171,82,
oud-westenholte,1057,2610,646,1466,498,
westenholte-stins,1108,2575,517,1508,550,
vreugderijk,68,202,40,118,44,
bedrijventerrein voorst-c,1,8,3,5,0,
bedrijventerrein voorst-d,1,5,0,5,0,
frankhuis,2366,6593,1953,4194,446,
mastenbroek,21,51,9,34,8,
schoonhorst,1870,4200,874,2761,565,
werkeren,1682,5279,1920,2991,368,
milligen,2874,6995,1626,4245,1124,
de tippe,4,17,9,8,0,
breecamp,866,2787,1090,1665,32,
breezicht,545,1500,481,981,38,
stadsbroek,20,56,8,37,11,
holtenbroek iv,1695,3225,534,1834,857,
holtenbroek i,893,1877,434,1218,225,
holtenbroek ii,1384,2648,562,1887,199,
holtenbroek iii,1058,2207,445,1487,275,
aa-landen-zuid,1072,2220,415,1298,507,
aa-landen-midden,2066,3856,708,1987,1161,
aa-landen-noord,1598,3833,834,2003,996,
aa-landen-oost,1456,3377,726,1746,905,
brinkhoek,265,623,106,317,200,
langenholte,46,124,24,74,26,
haerst,107,286,51,173,62,
berkum,1689,3880,793,1980,1107,
bedrijventerrein de vrolijkheid,4,13,3,10,0,
veldhoek,106,269,40,164,65,
kantorenterrein oosterenk,193,780,146,602,32,
bedrijventerrein hessenpoort,32,77,14,50,13,
tolhuislanden,55,180,44,110,26,
herfte,145,403,89,230,84,
bedrijventerrein marslanden-zuid,10,175,7,165,3,
wijthmen,249,604,102,369,133,
oud-schelle,486,1428,393,824,211,
schellerhoek,374,982,203,639,140,
schellerbroek,699,1443,226,862,355,
schellerlanden,1202,2570,425,1410,735,
oldenelerlanden-oost,1005,2340,509,1421,410,
oldenelerlanden-west,568,1421,310,862,249,
oldenelerbroek,1459,3154,549,1998,607,
schelle-zuid en oldeneel,67,170,23,93,54,
katerveer-engelse werk,207,648,129,353,166,
oud-ittersum,578,1482,356,830,296,
ittersumerlanden,1881,3811,717,2217,877,
ittersumerbroek,1008,2264,385,1426,453,
geren,453,804,108,612,84,
gerenlanden,1222,3025,651,1853,521,
gerenbroek,1192,3037,700,1827,510,
oude mars,54,203,59,127,17,
windesheim,156,406,94,241,71,
harculo en hoog-zuthem,140,493,69,237,187,
