postcode,wijknaam,buurtnaam,subsidiejaar,techniek,subcategorie
8011AC,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Dakisolatie,Dakisolatie
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,HR++ glas U <= 1
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Vloerisolatie,Vloerisolatie
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Warmtepomp,Lucht-water < 1 kW
8011AD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024.0,Warmtepomp,Lucht-water >= 3
8011AK,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Dakisolatie,Dakisolatie
8011AK,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,HR++ glas U <= 1
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,Isolerende deur Ud <= 1
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,Panelen in kozijn U <= 0
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,Triple glas U <= 0
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Vloerisolatie,Vloerisolatie
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Glasisolatie,HR++ glas U <= 1
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Glasisolatie,Isolerende deur Ud <= 1
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Glasisolatie,Panelen in kozijn U <= 0
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Vloerisolatie,Vloerisolatie
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024.0,Glasisolatie,HR++ glas U <= 1
8011AP,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024.0,Vloerisolatie,Vloerisolatie
8011AR,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Glasisolatie,HR++ glas U <= 1
8011AV,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024.0,Warmtepomp,Lucht-water >= 1 kW en < 3
8011AW,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Dakisolatie,Dakisolatie
8011AW,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2022.0,Vloerisolatie,Vloerisolatie
8011AW,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2024.0,Glasisolatie,Triple glas U <= 0
8011BD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Spouwmuurisolatie,Spouwmuurisolatie
8011BD,Wijk 14 Kamperpoort-Veerallee,Kamperpoort,2023.0,Vloerisolatie,Vloerisolatie
