projectnummer,programma,realisatiejaar,categorie,maximale_subsidie,latitude,longitude
SDE1308118,SDE,2015,Zonne-energie,"1,408,950",52.468987,6.1067627
SDE1312395,SDE,2016,Zonne-energie,"421,290",52.494547,6.1390944
SDE1355367,SDE,2015,Zonne-energie,"3,496,066",52.546132,6.1753688
SDE1406477,SDE,2017,Zonne-energie,"599,460",52.517043,6.0780913
SDE1413144,SDE,2017,Zonne-energie,"202,395",52.512395,6.1017768
SDE1413974,SDE,2018,Zonne-energie,"54,075",52.508059,6.1258622
SDE1416923,SDE,2016,Zonne-energie,"233,295",52.499075,6.1239317
SDE1420318,SDE,2018,Zonne-energie,"389,340",52.520953,6.1209318
SDE1424058,SDE,2017,Zonne-energie,"927,000",52.534526,6.1729359
SDE1435533,SDE,2017,Zonne-energie,"54,229",52.504583,6.0714896
SDE1435749,SDE,2018,Zonne-energie,"556,200",52.522145,6.1240136
SDE1446485,SDE,2017,Zonne-energie,"8,292,015",52.514537,6.0658382
SDE1452225,SDE,2018,Zonne-energie,"653,535",52.513713,6.0535751
SDE1453641,SDE,2017,Zonne-energie,"637,158",52.498722,6.0724315
SDE1453942,SDE,2016,Zonne-energie,"369,255",52.533595,6.1769997
SDE1455867,SDE,2018,Zonne-energie,"258,015",52.509803,6.0797528
SDE1457080,SDE,2017,Zonne-energie,"256,470",52.50489,6.1145449
SDE1460167,SDE,2015,Zonne-energie,"131,580",52.515414,6.0758396
SDE1460201,SDE,2018,Zonne-energie,"305,910",52.504722,6.1225094
SDE1460371,SDE,2018,Zonne-energie,"309,000",52.481464,6.1364218
SDE1483593,SDE,2017,Zonne-energie,"1,545,000",52.540578,6.1715785
SDE1485177,SDE,2017,Zonne-energie,"261,909",52.491784,6.1244631
SDE1485893,SDE,2018,Zonne-energie,"111,240",52.505857,6.1073148
SDE1488193,SDE,2015,Zonne-energie,"1,102,125",52.532596,6.1624347
SDE1500029,SDE,2016,Biomassa,"1,036,800",52.525852,6.1232457
SDE1609205,SDE,2018,Zonne-energie,"17,685",52.555559,6.0399575
SDE1613909,SDE,2019,Zonne-energie,"225,720",52.506791,6.0912692
SDE1617655,SDE,2017,Zonne-energie,"56,169",52.473662,6.1135382
SDE1624039,SDE,2018,Zonne-energie,"416,100",52.501026,6.0803517
SDE1627202,SDE,2019,Zonne-energie,"186,846",52.517973,6.1265787
SDE1630599,SDE,2019,Zonne-energie,"22,943",52.508943,6.0938137
SDE1634793,SDE,2017,Zonne-energie,"27,432",52.530155,6.1725409
SDE1663545,SDE,2019,Zonne-energie,"124,659",52.516907,6.0842113
SDE1667088,SDE,2021,Zonne-energie,"12,697",52.498614,6.1484783
SDE1679947,SDE,2018,Zonne-energie,"29,127",52.555559,6.0399575
SDE1683433,SDE,2019,Zonne-energie,"142,358",52.489252,6.1395124
SDE1689450,SDE,2019,Zonne-energie,"45,871",52.541343,6.0560669
SDE1698513,SDE,2017,Zonne-energie,"18,810",52.518058,6.0967737
SDE1707177,SDE,2019,Zonne-energie,"108,927",52.515414,6.0758396
SDE1712017,SDE,2019,Biomassa,"1,192,725",52.510421,6.0426833
SDE1717669,SDE,2020,Zonne-energie,"174,135",52.507456,6.1026053
SDE1719471,SDE,2019,Zonne-energie,"348,769",52.494627,6.1251695
SDE1719737,SDE,2020,Zonne-energie,"130,972",52.51899,6.0629333
SDE1723166,SDE,2018,Zonne-energie,"92,255",52.508059,6.1258622
SDE1724011,SDE,2021,Zonne-energie,"1,860,651",52.53467,6.1675392
SDE1725996,SDE,2020,Zonne-energie,"214,691",52.508377,6.1040543
