datum_afspraak_coachgesprek;postcode;telling
04/01/2023;8024 AP;1
05/01/2023;8016HM;2
05/01/2023;8032 EN;3
06/01/2023;8024BB;4
06/01/2023;8024PC;5
11/01/2023;8032CP;6
13/01/2023;8011jh;7
16/01/2023;8032TD;8
18/01/2023;8017BA;9
19/01/2023;8033CB;10
20/01/2023;8014JP;11
23/01/2023;8032TR;12
23/01/2023;8032XZ;13
23/01/2023;8034RA;14
24/01/2023;8032TB;15
27/01/2023;8011 ET;16
01/02/2023;8032 NE;17
02/02/2023;8016LM;18
02/02/2023;8032CG;19
02/02/2023;8032 NP;20
03/02/2023;8012dw;21
07/02/2023;8033DW;22
08/02/2023;8033BX;23
08/02/2023;8033bn;24
08/02/2023;8032TM;25
09/02/2023;8013ZA;26
09/02/2023;8032LR;27
13/02/2023;8033 EG;28
13/02/2023;8031DC;29
14/02/2023;8016 ER;30
15/02/2023;8033CN;31
16/02/2023;8016LA;32
17/02/2023;8023 BV;33
17/02/2023;8012BN;34
17/02/2023;8031 DB;35
17/02/2023;8017BH;36
18/02/2023;8014CX;37
20/02/2023;8015 BL;38
20/02/2023;8042AT;39
20/02/2023;8031CA;40
22/02/2023;8033 EG;41
23/02/2023;8042 GB;42
23/02/2023;8043EH;43
24/02/2023;8032JN;44
28/02/2023;8016LM;45
28/02/2023;8035 RA;46
01/03/2023;8042 NR;47
01/03/2023;8011LC;48
07/03/2023;8014HD;49
07/03/2023;8016 DS;50
07/03/2023;8017NA;51
08/03/2023;8016LM;52
08/03/2023;8016AP;53
10/03/2023;8042CX;54
10/03/2023;8032JK;55
13/03/2023;8014ja;56
13/03/2023;8033DH;57
14/03/2023;8016LT;58
16/03/2023;8014JK;59
17/03/2023;8017AM;60
20/03/2023;8023 BG;61
23/03/2023;8012 VM;62
24/03/2023;8014ZC;63
24/03/2023;8017MC;64
31/03/2023;8014JK;65
31/03/2023;8016AK;66
03/04/2023;8025AR;67
04/04/2023;8015PT;68
07/04/2023;8015PW;69
13/04/2023;8016MG;70
14/04/2023;8014GE;71
19/04/2023;8014EJ;72
19/04/2023;8014CD;73
19/04/2023;8017DE;74
23/04/2023;8032TE;75
24/04/2023;8016AW;76
25/04/2023;8022RT;77
28/04/2023;8032LM;78
02/05/2023;8012WD;79
10/05/2023;8014 ct;80
10/05/2023;8023DJ;81
12/05/2023;8014AM;82
12/05/2023;8043VN;83
15/05/2023;8017JB;84
16/05/2023;8014MN;85
17/05/2023;8016LL;86
22/05/2023;8032LM;87
22/05/2023;8032TE;88
25/05/2023;8015BR;89
30/05/2023;8032XG;90
25/06/2023;8032JG;91
29/06/2023;8012WX;92
02/08/2023;8012WN;93
14/08/2023;8012DZ;94
18/08/2023;8012AJ;95
24/08/2023;8032GA;96
04/09/2023;8012DL;97
15/09/2023;8014PN;98
18/09/2023;8033BH;99
20/09/2023;8032DT;100
22/09/2023;8022BC;101
28/09/2023;8032AH;102
02/10/2023;8032GN;103
11/10/2023;8014PA;104
13/10/2023;8012XS;105
16/10/2023;8033CK;106
17/10/2023;8016GC;107
20/10/2023;8012CW;108
24/10/2023;8017NM;109
27/10/2023;8032ZJ;110
27/10/2023;8012VH;111
30/10/2023;8014TM;112
30/10/2023;8032KX;113
31/10/2023;8032EE;114
03/11/2023;8032TV;115
05/11/2023;8031JM;116
10/11/2023;8031JB;117
14/11/2023;8014ZG;118
14/11/2023;8033AB;119
14/11/2023;8032GA;120
14/11/2023;8032GA;121
15/11/2023;8043TW;122
