Postal code,Place,Bad isolated parts of the house,Date,Amount of money,Measures,Do-it-yourself?,Ventilation measure?,buurt-naam,Disctrict CBS
8012DW,Zwolle,Dak Gevel Ramen Vloer Zolder,10/01/2025,2600,Vloerisolatie (meer dan 20 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8043PD,Zwolle,Dak Gevel Vloer Zolder,20/07/2024,2000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Frankhuis,Stadshagen
8021DR,Zwolle,Ramen Zolder,15/08/2024,2000,Dakisolatie binnenzijde (meer dan 20 m2),Ja,Nee,Het Noorden,Diezerpoort
8033EE,Zwolle,Ramen Vloer,22/08/2024,2000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Aa-landen-Oost,Aa-landen
8012AD,Zwolle,Dak Gevel Ramen Vloer Zolder,02/12/2024,2000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8012WL,Zwolle,Gevel Vloer Zolder,11/12/2024,2000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8021DL,Zwolle,Dak Gevel Vloer Zolder,11/12/2024,2000,Dakisolatie binnenzijde (meer dan 20 m2),Nee,Nee,Het Noorden,Diezerpoort
8012DA,Zwolle,Dak Gevel Ramen Zolder,17/12/2024,2000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8012DA,Zwolle,Dak Gevel Vloer Zolder,19/12/2024,2000,Vloerisolatie (meer dan 20 m2),Nee,Nee,Nieuw-Assendorp,Assendorp
8021WR,Zwolle,Gevel Ramen Vloer Zolder,22/12/2024,2000,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Schildersbuurt,Diezerpoort
8012BA,Zwolle,Dak Gevel Ramen Vloer Zolder,28/12/2024,2000,Dakisolatie binnenzijde (meer dan 20 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Oud-Assendorp,Assendorp
8014AW,Zwolle,Dak Gevel Ramen Vloer Zolder,30/12/2024,2000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Ittersum,Ittersum
8033AX,Zwolle,Gevel Vloer Zolder,30/12/2024,2000,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Aa-landen-Oost,Aa-landen
8014ZG,Zwolle,Ramen,15/01/2025,2000,Glasisolatie/kozijnpaneel- of deurisolatie (meer dan 8 m2),Nee,Nee,Oud-Ittersum,Ittersum
8021ER,Zwolle,Dak Gevel Vloer,31/01/2024,1300,Bodemisolatie (meer dan 20 m2) Spouwmuurisolatie (meer dan 10 m2),Nee,Nee,Het Noorden,Diezerpoort
8022AX,Zwolle,Gevel Ramen Vloer,31/01/2024,1300,Spouwmuurisolatie (meer dan 10 m2) Vloerisolatie (meer dan 20 m2),Nee,Nee,Hogenkamp,Diezerpoort
