OBJECTID,Programma,Projectnummer,Adress,Postal Code,Maximale_subsidie,Indienronde,Realisatiejaar,Kwartaal,Aanvrager,Status,Vermogen,Looptijd,Rechtsvorm,Provincie,Latitude,Longitude,Categorie,Thema,label,RES_regio,Gemeente,Plaats,x,y
9,SCE,SCE2110226,,,,2021,2023,Q1,Zonnebuur Coöperatie U.A.,Gerealiseerd,0.0384,15,COOP,Overijssel,52.495598,6.1092469,Zonne-energie,Zon-PV kleinverbruikersaansluiting >= 15 kW en <= 100 kW,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.109246166,52.49559756
91,SCE,SCE2112288,,,,2021,2023,Q1,Zonnebuur Coöperatie U.A.,Gerealiseerd,0.0152,15,COOP,Overijssel,52.49503,6.1096136,Zonne-energie,Zon-PV kleinverbruikersaansluiting >= 15 kW en <= 100 kW,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.109612866,52.49502956
95,SCE,SCE2112429,,,,2021,2023,Q1,Zonnebuur Coöperatie U.A.,Gerealiseerd,0.0436,15,COOP,Overijssel,52.495169,6.1087527,Zonne-energie,Zon-PV kleinverbruikersaansluiting >= 15 kW en <= 100 kW,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.108751962,52.49516856
171,SCE,SCE2114469,,,,2021,2024,Q2,Zonnebuur Coöperatie U.A.,Gerealiseerd,0.03938,15,COOP,Overijssel,52.484701,6.1117188,Zonne-energie,Zon-PV kleinverbruikersaansluiting >= 15 kW en <= 100 kW,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.111718042,52.48470056
176,SCE,SCE2114704,,,,2021,2023,Q1,Zonnebuur Coöperatie U.A.,Gerealiseerd,0.036,15,COOP,Overijssel,52.49503,6.1096136,Zonne-energie,Zon-PV kleinverbruikersaansluiting >= 15 kW en <= 100 kW,"Zonne-energie 0 - 0,05 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.109612866,52.49502956
189,SCE,SCE2115120,,,,2021,2023,Q1,Zonnebuur Coöperatie U.A.,Gerealiseerd,0.0616,15,COOP,Overijssel,52.495169,6.1087527,Zonne-energie,Zon-PV kleinverbruikersaansluiting >= 15 kW en <= 100 kW,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.108751962,52.49516856
198,SCE,SCE2115577,,,,2021,2022,Q2,Zonnebuur Coöperatie U.A.,Gerealiseerd,0.062,15,COOP,Overijssel,52.496905,6.1097983,Zonne-energie,Zon-PV kleinverbruikersaansluiting >= 15 kW en <= 100 kW,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.109797572,52.49690456
214,SCE,SCE2116115,,,,2021,2023,Q3,Coöperatief Allerzonst U.A.,Gerealiseerd,0.054,15,COOP,Overijssel,52.522945,6.1094185,Zonne-energie,Zon-PV kleinverbruikersaansluiting >= 15 kW en <= 100 kW,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.109417842,52.52294464
287,SCE,SCE2118038,,,,2021,2022,Q2,Zonnebuur Coöperatie U.A.,Gerealiseerd,0.056,15,COOP,Overijssel,52.496167,6.1095245,Zonne-energie,Zon-PV kleinverbruikersaansluiting >= 15 kW en <= 100 kW,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.109523769,52.49616656
302,SCE,SCE2118733,,,,2021,2023,Q1,Zonnebuur Coöperatie U.A.,Gerealiseerd,0.0604,15,COOP,Overijssel,52.495511,6.1098565,Zonne-energie,Zon-PV kleinverbruikersaansluiting >= 15 kW en <= 100 kW,"Zonne-energie 0,05 - 10 MW",Regio West-Overijssel,Zwolle,ZWOLLE,6.109855768,52.49551056
