Buurt_naam;woningen [woonruimten];woonruimten totaal [woonruimten] (1);inwoners op 1 januari [personen] (1);inwoners in de leeftijd van 0-3 jaar [personen] (1);inwoners in de leeftijd van 4-11 jaar [personen] (1);inwoners in de leeftijd van 12-17 jaar [personen] (1);inwoners in de leeftijd van 18-24 jaar [personen] (1);inwoners in de leeftijd van 25-39 jaar [personen] (1);inwoners in de leeftijd van 40-54 jaar [personen] (1);inwoners in de leeftijd van 55-64 jaar [personen] (1);inwoners in de leeftijd van 65-74 jaar [personen] (1);inwoners in de leeftijd van 75-84 jaar [personen] (1);inwoners in de leeftijd van 85 jaar en ouder [personen] (1);inwoners in de leeftijd van 0-17 jaar [personen] (1);inwoners in de leeftijd van 18-64 jaar [personen] (1);inwoners in de leeftijd van 65 jaar en ouder [personen] (1);gemiddeld gestandaardiseerd inkomen per huishouden [euro];% huishoudens onder 105% van sociaal minimum [%]
Binnenstad-Zuid;1565;1566;2367;34;49;58;477;987;350;183;131;80;18;141;1997;229;;
Binnenstad-Noord;656;659;912;11;6;18;193;402;123;60;63;31;5;35;778;99;;
Noordereiland;540;558;864;17;16;22;70;227;157;136;141;69;9;55;590;219;;
Het Noorden;1214;1220;1670;53;39;28;433;625;215;104;75;72;26;120;1377;173;;
Schildersbuurt;175;175;349;10;21;15;42;79;75;45;29;27;6;46;241;62;;
Bollebieste;990;990;1735;69;99;91;158;509;298;186;149;103;73;259;1151;325;;
Dieze-Centrum;644;647;1038;28;29;30;192;430;131;89;67;36;6;87;842;109;;
Bagijneweide;490;502;864;17;25;28;168;224;118;91;82;80;31;70;601;193;;
Hogenkamp;2050;2059;3421;163;221;160;344;1206;596;268;189;173;101;544;2414;463;;
Indischebuurt;594;594;1010;41;76;51;129;320;191;101;59;34;8;168;741;101;;
Meppelerstraatweg-Zuid;264;264;367;22;16;6;27;194;61;29;10;2;0;44;311;12;;
Bedrijventerrein Floresstraat;185;186;427;25;71;34;13;78;124;40;20;16;6;130;255;42;;
Wipstrik-Noord;1302;1305;3072;170;331;244;218;646;624;355;296;142;46;745;1843;484;;
Wipstrik-Zuid;1857;1861;3358;152;220;136;236;896;604;388;371;266;89;508;2124;726;;
Stationsbuurt;584;590;1415;63;84;77;273;365;231;123;104;65;30;224;992;199;;
Oud-Assendorp;2131;2133;4220;180;260;153;809;1343;743;395;206;98;33;593;3290;337;;
Nieuw-Assendorp;1424;1424;3081;146;308;205;431;729;607;311;209;109;26;659;2078;344;;
Wezenlanden;599;638;1198;34;107;79;104;255;243;132;151;81;12;220;734;244;;
Pierik;1166;1176;2144;110;149;119;149;611;465;245;180;98;18;378;1470;296;;
Bedrijventerrein Marslanden-Noord;0;14;30;0;3;1;3;1;7;11;4;0;0;4;22;4;;
Hanzeland;636;636;1097;28;38;25;171;319;155;141;108;101;11;91;786;220;;
Kamperpoort;1377;1377;2273;73;70;48;322;857;265;212;198;142;86;191;1656;426;;
Veerallee;684;684;1900;110;231;158;245;336;414;188;119;67;32;499;1183;218;;
Bedrijventerrein Voorst-A;42;43;54;0;0;0;3;34;10;5;2;0;0;0;52;2;;
Bedrijventerrein Voorst-B;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Spoolde;117;117;317;7;24;33;32;27;70;42;52;25;5;64;171;82;;
Oud-Westenholte;1051;1057;2610;130;268;248;214;399;557;296;259;171;68;646;1466;498;;
Westenholte-Stins;1103;1108;2575;85;215;217;192;435;507;374;387;147;16;517;1508;550;;
Vreugderijk;68;68;202;1;15;24;26;9;45;38;25;18;1;40;118;44;;
Bedrijventerrein Voorst-C;1;1;8;1;1;1;0;3;1;1;0;0;0;3;5;0;;
Bedrijventerrein Voorst-D;1;1;5;0;0;0;0;2;1;2;0;0;0;0;5;0;;
Frankhuis;2320;2366;6593;384;829;740;567;1288;1777;562;298;120;28;1953;4194;446;;
Mastenbroek;21;21;51;2;2;5;5;7;9;13;8;0;0;9;34;8;;
Schoonhorst;1870;1870;4200;191;333;350;373;860;998;530;294;207;64;874;2761;565;;
Werkeren;1659;1682;5279;337;933;650;311;1019;1377;284;179;122;67;1920;2991;368;;
Milligen;2871;2874;6995;274;680;672;593;1220;1671;761;610;424;90;1626;4245;1124;;
De Tippe;4;4;17;0;3;6;0;0;6;2;0;0;0;9;8;0;;
Breecamp;866;866;2787;237;522;331;153;757;641;114;29;2;1;1090;1665;32;;
Breezicht;545;545;1500;139;207;135;95;495;320;71;32;6;0;481;981;38;;
Stadsbroek;20;20;56;2;4;2;11;5;15;6;4;7;0;8;37;11;;
Holtenbroek IV;1695;1695;3225;96;220;218;329;641;497;367;360;324;173;534;1834;857;;
Holtenbroek I;892;893;1877;96;192;146;163;472;427;156;143;73;9;434;1218;225;;
Holtenbroek II;1381;1384;2648;132;247;183;281;842;536;228;110;78;11;562;1887;199;;
Holtenbroek III;1053;1058;2207;100;182;163;219;512;472;284;167;87;21;445;1487;275;;
Aa-landen-Zuid;1072;1072;2220;95;171;149;165;444;395;294;234;208;65;415;1298;507;;
Aa-landen-Midden;2066;2066;3856;118;340;250;204;685;685;413;415;483;263;708;1987;1161;;
