Buurt-naam;woningen [woonruimten];woonruimten totaal [woonruimten] (1);inwoners op 1 januari [personen] (1);inwoners in de leeftijd van 0-3 jaar [personen] (1);inwoners in de leeftijd van 4-11 jaar [personen] (1);inwoners in de leeftijd van 12-17 jaar [personen] (1);inwoners in de leeftijd van 18-24 jaar [personen] (1);inwoners in de leeftijd van 25-39 jaar [personen] (1);inwoners in de leeftijd van 40-54 jaar [personen] (1);inwoners in de leeftijd van 55-64 jaar [personen] (1);inwoners in de leeftijd van 65-74 jaar [personen] (1);inwoners in de leeftijd van 75-84 jaar [personen] (1);inwoners in de leeftijd van 85 jaar en ouder [personen] (1);inwoners in de leeftijd van 0-17 jaar [personen] (1);inwoners in de leeftijd van 18-64 jaar [personen] (1);inwoners in de leeftijd van 65 jaar en ouder [personen] (1);gemiddeld gestandaardiseerd inkomen per huishouden [euro];% huishoudens onder 105% van sociaal minimum [%]
Binnenstad-Zuid;1575;1576;2373;36;54;52;467;1012;335;172;133;87;25;142;1986;245;;
Binnenstad-Noord;715;718;975;12;8;14;226;429;118;68;61;32;7;34;841;100;;
Noordereiland;543;562;877;13;22;18;75;237;150;136;141;76;9;53;598;226;;
Het Noorden;1243;1249;1710;61;38;34;418;636;225;119;82;69;28;133;1398;179;;
Schildersbuurt;175;175;346;11;18;16;36;83;80;42;33;22;5;45;241;60;;
Bollebieste;990;990;1730;68;89;99;148;517;302;190;134;102;81;256;1157;317;;
Dieze-Centrum;647;650;1064;30;28;22;231;420;123;96;69;37;8;80;870;114;;
Bagijneweide;490;502;860;15;33;21;155;234;115;89;82;80;36;69;593;198;;
Hogenkamp;2050;2059;3445;163;237;154;332;1202;601;281;196;179;100;554;2416;475;;
Indischebuurt;581;581;1014;33;70;58;126;340;185;102;57;38;5;161;753;100;;
Meppelerstraatweg-Zuid;264;264;366;19;19;6;29;187;67;27;9;2;1;44;310;12;;
Bedrijventerrein Floresstraat;185;186;426;22;68;40;12;71;122;46;23;17;5;130;251;45;;
Wipstrik-Noord;1302;1305;3039;157;335;239;196;666;615;344;302;144;41;731;1821;487;;
Wipstrik-Zuid;1860;1864;3340;133;236;144;245;854;618;393;369;262;86;513;2110;717;;
Stationsbuurt;587;593;1415;58;83;76;264;366;227;126;102;78;35;217;983;215;;
Oud-Assendorp;2129;2130;4139;179;245;164;787;1295;733;396;207;101;32;588;3211;340;;
Nieuw-Assendorp;1426;1426;3088;140;283;213;458;701;610;332;206;113;32;636;2101;351;;
Wezenlanden;639;678;1161;31;104;71;107;239;231;147;125;91;15;206;724;231;;
Pierik;1172;1182;2139;99;147;121;144;614;455;251;188;100;20;367;1464;308;;
Bedrijventerrein Marslanden-Noord;0;14;30;0;2;2;3;1;5;13;4;0;0;4;22;4;;
Hanzeland;636;636;1111;34;32;31;175;314;157;132;114;106;16;97;778;236;;
Kamperpoort;1381;1381;2439;80;108;72;331;915;283;213;201;144;92;260;1742;437;;
Veerallee;684;684;1879;111;231;162;231;331;402;187;121;72;31;504;1151;224;;
