Buurt_naam,Totaal aardgasverbruik woningen (temperatuurgecorrigeerd) [TJ],Aardgasverbruik woningen [miljoen m3],Elektriciteitsverbruik woningen [GWh (miljoen kWh)],Aardgasverbruik woningen (temperatuurgecorrigeerd) [miljoen m3],CO2-uitstoot Woningen (elektriciteit) [kton],"CO2-uitstoot Woningen (aardgas, temperatuurgecorrigeerd) [kton]",CO2-uitstoot Woningen (aardgas) [kton],Consumentenprijs gas (variabele kosten incl. energiebelasting en BTW) [€],Consumentenprijs elektriciteit (variabele kosten incl. energiebelasting en BTW) [€],Aantal woningen met verwarming op basis van aardgas  (benadering) [aantal],Aantal woningen met elektrische verwarming (benadering) [aantal],Aantal geregistreerde installaties met zonnepanelen woningen [aantal],Vermogen geregistreerde zonnepanelen woningen [kW],Vermogen geregistreerde zonnepanelen per woning [Wattpiek],Wind op land fysiek opgesteld vermogen [MW],Percentage woningen met geregistreerde zonnepanelen [%],Huishoudens [aantal],Bevolking totaal [aantal],Gemiddeld inkomen per inwoner [€],Gemiddeld inkomen per huishouden [€]
Binnenstad-Zuid,42,1.2,3.2,1.3,0.7,2.4,2.1,1.35,0.37,1253,94,,,,,,1610,2370,?,?
Binnenstad-Noord,14,0.4,1.1,0.4,0.2,0.8,0.7,1.35,0.37,525,20,,,,,,650,910,?,?
Noordereiland,12,0.3,1.1,0.4,0.2,0.7,0.6,1.35,0.37,491,38,,,,,,545,865,?,?
Het Noorden,21,0.6,1.6,0.6,0.4,1.2,1,1.35,0.37,1202,0,,,,,,1240,1670,?,?
Schildersbuurt,4,0.1,0.3,0.1,0.1,0.2,0.2,1.35,0.37,173,2,,,,,,190,345,?,?
Bollebieste,23,0.7,1.8,0.7,0.4,1.3,1.2,1.35,0.37,911,69,,,,,,950,1735,?,?
Dieze-Centrum,15,0.4,1.2,0.5,0.3,0.8,0.8,1.35,0.37,580,39,,,,,,695,1040,?,?
Bagijneweide,12,0.4,1,0.4,0.2,0.7,0.6,1.35,0.37,417,25,,,,,,550,865,?,?
Hogenkamp,42,1.2,3.3,1.3,0.7,2.4,2.1,1.35,0.37,1866,123,,,,,,2050,3425,28600,47800
Indischebuurt,13,0.4,1,0.4,0.2,0.7,0.7,1.35,0.37,541,48,,,,,,590,1010,?,?
Meppelerstraatweg-Zuid,5,0.1,0.4,0.2,0.1,0.3,0.2,1.35,0.37,264,0,,,,,,270,370,?,?
Bedrijventerrein Floresstraat,4,0.1,0.4,0.1,0.1,0.2,0.2,1.35,0.37,183,2,,,,,,180,425,?,?
Wipstrik-Noord,44,1.3,3.1,1.4,0.7,2.5,2.2,1.35,0.37,1263,39,,,,,,1320,3075,38700,90200
Wipstrik-Zuid,45,1.3,3.6,1.4,0.8,2.5,2.3,1.35,0.37,1820,19,,,,,,1900,3360,31300,55400
Stationsbuurt,22,0.6,1.5,0.7,0.3,1.2,1.1,1.35,0.37,561,18,,,,,,810,1415,?,?
Oud-Assendorp,58,1.7,4.1,1.8,0.9,3.3,3,1.35,0.37,2046,64,,,,,,2475,4220,32200,54900
Nieuw-Assendorp,39,1.1,2.7,1.2,0.6,2.2,2,1.35,0.37,1396,14,,,,,,1545,3085,30700,61300
Wezenlanden,14,0.4,1.2,0.4,0.3,0.8,0.7,1.35,0.37,563,30,,,,,,625,1200,?,?
Pierik,27,0.8,1.9,0.8,0.4,1.5,1.4,1.35,0.37,1061,70,,,,,,1180,2140,?,?
Bedrijventerrein Marslanden-Noord,?,?,?,?,?,?,?,1.35,0.37,?,?,,,,,,15,30,?,?
Hanzeland,12,0.3,1.2,0.4,0.3,0.7,0.6,1.35,0.37,471,6,,,,,,660,1100,?,?
Kamperpoort,24,0.7,2.4,0.8,0.5,1.3,1.2,1.35,0.37,1239,96,,,,,,1410,2270,?,?
Veerallee,25,0.7,1.9,0.8,0.4,1.4,1.3,1.35,0.37,636,34,,,,,,835,1900,?,?
Bedrijventerrein Voorst-A,1,0,0.1,0,0,0,0,1.35,0.37,?,?,,,,,,45,50,?,?
Bedrijventerrein Voorst-B,?,?,?,?,?,?,?,1.35,0.37,?,?,,,,,,0,0,?,?
Spoolde,4,0.1,0.4,0.1,0.1,0.3,0.2,1.35,0.37,105,12,,,,,,120,320,?,?
Oud-Westenholte,29,0.8,2.6,0.9,0.6,1.7,1.5,1.35,0.37,925,105,,,,,,1010,2605,28600,73800
Westenholte-Stins,30,0.8,2.4,0.9,0.5,1.7,1.5,1.35,0.37,1070,33,,,,,,1110,2575,29200,67700
Vreugderijk,3,0.1,0.3,0.1,0.1,0.1,0.1,1.35,0.37,?,?,,,,,,75,205,?,?
Bedrijventerrein Voorst-C,?,?,?,?,?,?,?,1.35,0.37,?,?,,,,,,5,5,?,?
Bedrijventerrein Voorst-D,?,?,?,?,?,?,?,1.35,0.37,?,?,,,,,,5,5,?,?
Frankhuis,53,1.5,5.9,1.7,1.3,3,2.7,1.35,0.37,1972,348,,,,,,2355,6595,32300,90500
Mastenbroek,1,0,0.1,0,0,0.1,0.1,1.35,0.37,?,?,,,,,,20,50,?,?
Schoonhorst,42,1.2,4,1.3,0.9,2.4,2.1,1.35,0.37,1814,75,,,,,,1875,4200,33100,74100
Werkeren,41,1.2,4.7,1.3,1,2.3,2.1,1.35,0.37,1443,199,,,,,,1650,5280,32900,105300
Milligen,59,1.7,6.7,1.9,1.5,3.3,3,1.35,0.37,2354,258,,,,,,2865,6995,32400,79100
Tippe bij de IJssel,?,?,?,?,?,?,?,1.35,0.37,?,?,,,,,,5,15,?,?
Breecamp,1,0,3.1,0,0.7,0,0,1.35,0.37,17,424,,,,,,875,2790,30600,97600
