OBJECTID;Programma;Projectnummer;Indienronde;Realisatiejaar;Kwartaal;Aanvrager;Status;Vermogen;Maximale_subsidie;Looptijd;Rechtsvorm;Provincie;Latitude;Longitude;Categorie;Thema;label;RES_regio;Gemeente;Plaats;x;y
10730;SDE;SDE1308118;2013;2015;Q4;ENGIE Energie Zonnepark Harculo B.V.;Gerealiseerd;1.01;1010;15;BV;Overijssel;52.468.987;61.067.627;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;610.676.187.320.943;524.689.865.618.148
10744;SDE;SDE1312395;2013;2016;Q4;PostNL Real Estate B.V.;Gerealiseerd;0.302;302;15;BV;Overijssel;52.494.547;61.390.944;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;613.909.379.453.576;524.945.466.280.647
10949;SDE;SDE1355367;2013;2015;Q3;Warehouses De Pauw Nederland N.V.;Gerealiseerd;250.614;2506.14;15;NV;Overijssel;52.546.132;61.753.688;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.536.854.340.798;525.461.317.945.762
11304;SDE;SDE1406477;2014;2017;Q2;Pvefh SPV 3 B.V.;Gerealiseerd;0.388;388;15;BV;Overijssel;52.517.043;60.780.913;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;607.809.046.574.558;525.170.425.805.483
11472;SDE;SDE1413144;2014;2017;Q4;Pvefh SPV 2 B.V.;Gerealiseerd;0.131;131;15;BV;Overijssel;52.512.395;61.017.768;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;610.177.607.493.705;525.123.945.854.968
11495;SDE;SDE1413974;2014;2018;Q2;International Solar Projects III B.V.;Gerealiseerd;0.035;35;15;BV;Overijssel;52.508.059;61.258.622;Zonne-energie;Zon-PV;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.586.158.296.968;525.080.586.215.403
11577;SDE;SDE1416923;2014;2016;Q3;Enexis B.V.;Gerealiseerd;0.151;151;15;BV;Overijssel;52.499.075;61.239.317;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;61.239.310.439.681;524.990.745.973.196
11664;SDE;SDE1420318;2014;2018;Q4;Businesspark Zwolle B.V.;Gerealiseerd;0.252;252;15;BV;Overijssel;52.520.953;61.209.318;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;612.093.119.840.523;525.209.526.494.961
11779;SDE;SDE1424058;2014;2017;Q2;Warehouses De Pauw Nederland N.V.;Gerealiseerd;0.6;600;15;NV;Overijssel;52.534.526;61.729.359;Zonne-energie;Zon-PV;Zonne-energie 0,05 - 10 MW;Regio West-Overijssel;Zwolle;ZWOLLE;617.293.559.692.422;525.345.257.683.622
12069;SDE;SDE1435533;2014;2017;Q3;Eneco Solar B.V.;Gerealiseerd;0.0351;35.1;15;BV;Overijssel;52.504.583;60.714.896;Zonne-energie;Zon-PV;Zonne-energie 0 - 0,05 MW;Regio West-Overijssel;Zwolle;ZWOLLE;607.148.871.951.032;525.045.825.334.653
